Skip,Rederi,Location,Type skip,Type opplag,Bilde,Flagg,Dato inn,Dato ut,Rederi Valgbokser,Sist oppdatert
Island Wellserver,Island Offshore,"62.35235, 6.083",Brønnintervensjon,Varslet ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/IslandWellserver.jpg,NOR,2015-10-01,2016-04-01,Island Offshore,
Island Frontier,Island Offshore,"62.35239, 6.08435",Brønnintervensjon,Varslet ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/IslandFrontier.jpg,NOR,2015-10-21,2016-04-01,Island Offshore,
Island Vanguard,,"62.33953, 5.820763",AHTS,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/10/24095812/Island-Vanguard.jpg,NOR,2017-01-13,2017-02-06,Island Offshore,2017-01-19
Normand Aurora,,"59.3382, 5.296665",PSV,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2017/01/02070454/Normand-Aurora.jpeg,NIS,2016-12-30,2017-02-09,Solstad,2017-01-02
Normand Mariner,,"59.33927, 5.298092",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/Mariner-1-e1409734273465.jpg,NOR,2015-11-25,,Solstad,2017-01-17
Far Serenade,Farstad,"62.44856, 6.281178",PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/10/far-serenade.jpeg,NOR,2017-01-04,2017-02-27,Farstad,2017-02-27
Far Server,Farstad,"62.44877, 6.28142",PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Far-Server.jpg,Storbritannia,2015-05-11,2017-02-27,Farstad,2017-02-27
Far Sigma,Farstad,"62.44881, 6.277448",AHTS,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/10/Far-Sigma.jpeg,NOR,2015-10-14,2017-02-14,Farstad,2017-02-28
Edda Frigg,,"59.70037, 5.390012",PSV,Solgt fra opplag,http://img1.maritime.no/wp-content/uploads/2016/10/24102610/Edda-Frigg.jpg,NOR,2016-10-12,2017-02-02,Østensjø,2017-02-28
Edda Frende,,"59.70031, 5.390252",PSV,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2017/01/18155552/Edda-Frende.jpg,NOR,2017-01-10,2017-02-01,Østensjø,2017-02-28
Far Strait,,,AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2017/03/06142655/far-strait.jpeg,Singapore,2017-03-06,,Farstad,2017-03-06
Far Senior,,"62.44888, 6.27865",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2017/03/06143321/Far-Senior.jpeg,NOR,2017-03-01,,Farstad,2017-03-05
Far Sailor,,"62.44875, 6.277562",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2017/03/06143514/Far-Sailor.jpeg,NOR,2017-03-02,,Farstad,2017-03-06
Far Scorpion,,"60.40139, 5.214893",AHTS,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2017/01/02071035/Far-Scorpion.jpeg,NOR,2017-01-01,2017-03-02,Farstad,2017-03-06
Far Sabre,,"1.301985, 103.9699",AHTS,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23123612/Far-Sabre.jpeg,Storbritannia,2016-09-08,2017-03-01,Farstad,2017-03-06
