Skip,Rederi,Location,Type skip,Type opplag,Bilde,Flagg,Dato inn,Dato ut,Rederi Valgbokser,Sist oppdatert
Troms Hera,Troms Offshore,"55.98184, -3.186702",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Troms-Hera.jpg,Isle of Man,2015-06-12,,Troms offshore,
Maersk Assister,Maersk,"57.43831, 10.54495",AHTS,Utenlandsk rederi,http://www.maritime.no/wp-content/uploads/2015/05/Maersk-Assister2.jpg,Danmark,2015-06-10,,Maersk,
Maersk Advancer,Maersk,"57.43913, 10.54371",AHTS,Utenlandsk rederi,http://www.maritime.no/wp-content/uploads/2015/05/Maersk_Advancer.jpg,UK,2015-06-10,,Maersk,
Sea Angler,Deep Sea Supply,"-22.8853, 14.48247",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/IMG_29091.jpg,Kypros,2015-06-22,,Deep Sea Supply,
Siem Diamond,Siem Offshore,"58.49537, 8.877718",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Siem-Diamond-.jpg,NIS,2015-06-28,,Siem Offshore,
Polarcus Nadia,Polarcus,"52.40604, 4.882457",Seismikk,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Polarcus-Nadia.jpg,Bahamas,2015-04-15,,Supply	Polarcus,
Sea Springer,Deep Sea Supply,"58.11759, 7.045217",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Sea-Springer.jpg,Kypros,2015-08-27,,Deep Sea Supply,
Munin Explorer,Seabird,"26.5225, -78.76517",Seismikk,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/munin-front.jpg,Kypros,2015-08-19,,Seabird,
Maersk Tracer,Maersk,"35.49068, 24.07786",AHTS,Utenlandsk rederi,http://www.maritime.no/wp-content/uploads/2015/05/Maersk_Tracer_ship_2009_001.jpg,Danmark,2015-08-12,,Maersk,
Nanna Viking,Viking Supply Ships,"58.33665, 11.86607",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Nanna-Viking.jpg,NOR,2015-10-13,,Viking Supply,
Idun Viking,Viking Supply Ships,"58.33679, 11.86681",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Idun-Viking.jpg,NOR,2015-09-25,,Viking Supply,
Frigg Viking,Viking Supply Ships,"58.33647, 11.8663",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/frigg-viking.jpg,NOR,2015-10-13,,Viking Supply,
Havila Mars,Havila Shipping ,"62.29995, 5.651124",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/09/Havila-Mars-800x450.jpg,NOR,2015-10-19,,Havila,
Havila Neptune,Havila Shipping,"62.32322,  5.651628",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/09/HavilaNeptune1.jpg,NOR,,,Havila,
Stril Mermaid,Møkster,"58.99473, 5.69239",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/10/Stril-Mermaid.jpg,NOR,2015-10-09,,Møkster,
Stril Myster,Møkster,"58.99389, 5.693018",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/10/Stril-Myster.jpg,NOR,2015-10-07,,Møkster,
Normand Carrier,Solstad,"59.34074, 5.300502",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/10/Normand-Carrier.jpg,NOR,2015-10-12,,Solstad,
Normand Borg,Solstad,"59.33917, 5.298238",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/10/Normand-Borg.jpg,NOR,2015-10-09,,Solstad,
Blue Queen,Golden Energy Offshore,"62.33941, 5.824467",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/10/Blue-Queen-delivery_PES4748_CR-ULSTEIN_Per-Eide-Studio.jpg,NOR,2015-09-30,,Golden Energy Offshore,
Normand Neptun,Solstad,"59.33828, 5.297428",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/10/neptun-7-e1409734329528.jpg,NOR,2015-09-16,,Solstad,
Normand Corona,Solstad,"59.3382, 5.296885",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/10/Normand-Corona.jpg,NOR,2015-08-24,,Solstad,
Olympic Progress,Olympic,"62.36226, 5.660505",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/10/Olympic-Progress.jpg,Bahamas,2015-08-05,,Olympic,
Normand Skarven,Solstad,"59.33801, 5.296753",PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/10/Skarven.jpg,NOR,2015-09-30,2016-05-05,Solstad,
North Stream,Gulfmark,"58.86879, 5.746867",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/10/North-Stream.jpg,NOR,2015-10-09,,GulfMark Norge,
Maersk Beater,Maersk,"57.04787, 10.05299",AHTS,Utenlandsk rederi,http://www.maritime.no/wp-content/uploads/2015/10/Maersk-Beater.jpeg,Danmark,2015-09-10,,Maersk,
Maersk Asserter,Maersk,"28.49637, -16.20549",AHTS,Utenlandsk rederi,http://www.maritime.no/wp-content/uploads/2015/10/Maersk-Asserter.jpeg,Storbritannia,2015-10-08,,Maersk,
Far Searcher,Farstad,"62.44892, 6.281325",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/FarSearcher.jpg,NOR,2015-10-23,,Farstad,
Olympic Octopus,Olympic,"62.47459, 6.346122",AHTS,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/OlypmicOctopus.jpg,NOR,2015-11-11,,Olympic,
North Promise,GulfMark Norge,"58.86873, 5.74722",PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/NorthPromise.jpg,UK,2015-10-30,2016-06-13,GulfMark Norge,2016-06-15
Siem Emerald,Siem Offshore,"61.93108, 5.453053",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/SiemEmerald.jpg,NIS,2015-10-15,,Siem Offshore,
Odin Viking,Viking Supply ,"58.34552,  11.89465",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2014/10/odin-viking.jpg,Danmark,2015-11-02,,Viking Supply,
Polarsyssel,Fafnir,,PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2014/09/polarsyssel-havyard-sysselmannen-.jpg,NOR,2015-10-30,,,
Sea Spider,Deep Sea Supply,"58.11953, 7.046122",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/SeaSpider.jpg,Kypros,2015-10-02,,Deep Sea Supply,
Sea Halibut,Deep Sea Supply,"1.011092, 103.3439",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/Sea_UT.jpg,Kypros,2016-01-01,,Deep Sea Supply,
Siem Carrier,Siem Offshore,"28.39926, -16.23312",PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/11/SiemCarrier.jpg,NIS,,,Siem Offshore,
Sea Bass,Deep Sea Supply,"0.9979067,103.3423",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/Sea_UT.jpg,Kypros,2015-11-19,,Deep Sea Supply,
Viking Athene,Eidesvik,"59.60676, 5.229427",PSV,Varslet ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/Viking_athene1.jpg,NOR,2015-11-04,2016-01-01,Eidesvik,
Sea Frost,Deep Sea Supply,"1.000252, 103.3433",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/SeaFrost.jpg,Kypros,2015-11-14,,Deep Sea Supply,
Siddis Mariner,Siem Offshore,"59.33331, 5.292353",PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/SiddisMariner.jpg,NOR,,2016-03-10,Siem Offshore,
Island Commander,,"62.3424, 5.836687",PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/Island-Commander-800x450.gif,NOR,2015-11-26,,Island Offshore,
Normand Atlantic,,"59.33821, 5.297635",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/Normand-Atlantic.jpg,UK,2015-11-26,,Solstad,
Normand Pioneer,,"59.33812, 5.296695",Subsea,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/Normand-Pioneer.jpg,UK,2015-11-23,,Solstad,
Akofs Seafarer,Akofs Offshore,"59.57721, 5.562212",Brønnintervensjon,I opplag,http://www.maritime.no/wp-content/uploads/2015/12/akofs_seafarer1-800x450.jpg,Kypros,2015-11-11,,Akofs Offshore,
Ramform Explorer,,"58.08408, 6.794611",Seismikk,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Ramform-Explorer.jpg,NIS,2015-10-14,,PGS,
Polar Duke ,,"62.46259, 6.156385",Seismikk,I opplag,http://www.maritime.no/wp-content/uploads/2014/09/polar-duke-dolphin.jpg,Kypros,2015-09-15,,Gc Rieber,
Ramform Viking,,"58.08149, 6.782942",Seismikk,I opplag,http://www.maritime.no/wp-content/uploads/2015/09/ramform-viking-800x450.jpg,Bahamas,2015-10-14,,PGS,
Olympic Ares,,"62.08572, 6.875733",Subsea,I opplag men på kontrakt,http://www.maritime.no/wp-content/uploads/2015/12/Olympic-Ares.jpg,Bahamas,2015-12-04,,Olympic,
World Peridot,,"62.33736, 5.729555",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2015/12/22110502/world-peridot.jpeg,NOR,2015-12-14,,World Wide Supply,
World Opal,,"62.33736, 5.729993",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2015/12/22110501/World-Opal.jpg,NOR,2015-12-14,,World Wide Supply,
Normand Vibran,,"59.34182, 5.283252",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2015/12/22110207/Normand-Vibran.jpg,NIS,2016-01-09,,Solstad,
Normand Trym,,"59.34182, 5.283252",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2015/12/22110208/Normand-Trym-a-e1409732192575-1474x450.jpg,NIS,2015-12-30,,Solstad,
Ramform Valiant,,"58.08143, 6.782257",Seismikk,I opplag,http://img1.maritime.no/wp-content/uploads/2016/01/06100446/Ramform-Valiant.jpg,Bahamas,2016-01-01,,PGS,
Geco Topaz,,"58.08139, 6.779215",Seismikk,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/01/06101146/Geco-Topaz.jpg,Panama,2015-12-16,2016-06-29,Western Geco,2016-07-05
Geo Pacific,,"58.11451, 7.039683",Seismikk,I opplag,http://img1.maritime.no/wp-content/uploads/2016/01/06110654/Geo-Pacific.jpg,Marshalløyene,2015-12-17,,Seabird,
Acergy Viking,,"59.81772, 5.269444",Subsea,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/01/21130554/Acergy-Viking.jpg,Bahamas,2015-12-23,,Eidesvik,
Atlantic Guardian,,"60.39031, 5.298316",Seismikk,Varslet ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/02/11180348/atlantic_guardian_500x250.jpg,NIS,2015-10-14,2016-03-15,EMGS,
Island Dragon,Island Offshore,"59.02409,  5.616951",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/03/10152345/Skjermbilde-2016-03-10-kl.-15.23.27.png,NOR,2016-03-09,,Island Offshore,
Island Duchess,Island Offshore,"62.33547, 5.850471",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2015/09/Island-Duchess-800x450.jpg,NOR,2016-03-09,,Island Offshore,
Sol Viking,VIking Supply Ships,"52.60176, 1.72636 ",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/03/14090430/sol_viking.jpg,NIS,2016-03-14,,Viking Supply,
Normand Commander,,"59.33818, 5.296555",Subsea,I opplag,http://img1.maritime.no/wp-content/uploads/2016/05/09181759/Commander-with-helicopter-e1409733277285-500x325.jpg,NIS,2016-05-05,,Solstad,
NOR TIgerfish,,"1.305283, 103.6488",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/05/09182258/NOR-Tigerfish1-500x325.jpg,Singapor,2016-05-05,,Solstad,
Havila Faith,,"62.3, 5.65",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/05/10091417/Havila-Faith.jpg,Bahamas,2016-05-04,,Havila,
Sanco Sword,,"58.08124, 6.779495",Seismikk,I opplag,http://img1.maritime.no/wp-content/uploads/2016/08/12103626/Sanco-Sword.jpg,Gibraltar,2016-08-09,,Sanco,2016-08-12
Maersk Provider,Maersk,"28.49623, -16.20602",AHTS,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/10/Maersk-Provider1.jpeg,Danmark,2015-10-07,,Maersk,
Lady Astrid,,"0.7226667, 104.166",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23123858/Lady-Astrid.jpeg,NIS,2016-09-01,,Farstad,2016-09-23
Lady Caroline,,"0.7231167, 104.1646",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23124149/Lady-Caroline.jpeg,NIS,2016-09-09,,Farstad,2016-09-23
Far Saltire,,"0.698125, 103.6467",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23124413/Far-Saltire.jpeg,Storbritannia,2016-09-09,,Farstad,2016-09-23
Far Grip,,"0.74945, 104.1557",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23125142/Far-Grip.jpeg,NIS,2016-09-09,,Farstad,2016-09-23
Far Spirit,,"0.744550, 104.183212",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23125521/Far-Spirit.jpeg,Storbritannia,2016-09-23,,Farstad,2016-09-23
Lady Melinda,,"1.089, 104.2037",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23130227/Lady-Melinda.jpeg,Singapore,2016-09-02,,Farstad,2016-09-23
Nor Star,,"37.94964, 23.60475",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23133437/Nor-Star.png,Singapore,2016-07-15,,Solstad,2016-09-23
Viking Vanquish,,"59.82091, 5.263633",Seismikk,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/26095238/Viking-vanquish.jpg,NIS,2016-07-15,,Eidesvik,2016-09-14
Viking Vision,,"59.61167, 5.2415",Seismikk,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/26095904/Viking-Vision.jpg,NIS,2016-07-14,,Eidesvik,
Viking Lady,Eidesvik,"59.60676, 5.229427",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/VikingLady.jpg,NOR,2015-11-04,2016-01-02,Eidesvik,
Vantage,,"59.61112, 5.242087",Seismikk,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/26103331/Viking-Vantage.jpg,NIS,2016-08-11,,Eidesvik,2016-09-26
Viking Athene,,"59.93538, 5.323164",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/26104852/Viking-AThene.jpg,NOR,2016-09-22,,Eidesvik,2016-09-26
Bravo Sapphire,Opstad Shipping,"62.73409, 7.154252",Flerbruksskip,I opplag,http://img1.maritime.no/wp-content/uploads/2016/01/19144201/BravoSapphire.jpg,Gibraltar,2015-12-15,,Opstad Shipping,
Strilborg,Møkster,"58.99433, 5.69251",Flerbruksskip,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Stril_Commander_-_Simon_Møkster_Shipping.jpg,NOR,2015-05-11,2016-01-01,Møkster,
Viking Fighter (eid av Norsea med Eidesvik mgmt),,"59.61135, 5.24186",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Viking-Fighter1.jpg,NOR,2015-07-23,,Eidesvik,2016-09-26
Lady Sandra,,"1.221797, 103.7552",AHTS,Solgt fra opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23124738/Lady-Sandra.jpeg,Singapore,2016-09-09,,Farstad,2016-09-23
Skandi Constructor,," 60.08934, 5.216635",Subsea,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/08/02110223/Skandi-Constructor.jpg,Bahamas,2016-07-07,2016-08-10,DOF,2016-08-02
Viking Nereus,Eidesvik,"59.61125, 5.241868",PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/NEREUS.jpg,NOR,2015-05-11,,Eidesvik,
Havila Princess,,"62.30032, 5.650315",PSV,Solgt fra opplag,http://img1.maritime.no/wp-content/uploads/2016/02/09122223/havila-princess.jpg,NIS,2016-02-09,,Havila,
Island Clipper,,"62.58677, 6.91934",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/24094502/Island-Clipper.jpg,NOR,2016-10-13,,Island Offshore,2016-10-24
Island Valiant,,"56.70196, -2.46553",AHTS,Varslet opplag,http://img1.maritime.no/wp-content/uploads/2016/10/24100123/Island-Valiant.jpg,NOR,2016-10-24,,Island Offshore,2016-10-24
NOR Chief,,"59.14637, 5.264292",Flerbruksskip,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/24103235/Nor-Chief.jpg,Singapore,2016-10-13,,Solstad,2016-10-24
Bourbon Topaz,,"62.11547, 5.679407",PSV,,http://img1.maritime.no/wp-content/uploads/2016/10/24102959/Bourbon-Topaz.jpg,Bahamas,2016-10-13,,Bourbon,2016-10-24
Bourbon Borgstein,,"62.11542, 5.67902",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/24111227/Bourbon-Borgstein.jpg,Bahamas,2016-10-14,,Bourbon,2016-10-23
Bourbon Surf,,"62.11535, 5.678712",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/24111429/Bourbon-Surf.jpg,Bahamas,2016-10-12,,Bourbon,2016-10-11
Troms Capella,,"55.98204, -3.186107",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/25134718/Troms-Capella.jpg,Storbritannia,2016-10-05,,Troms offshore,2016-10-25
Vidar Viking,,"58.3455, 11.8995",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/25135316/Vidar-Viking.jpg,Russisk,2016-10-06,,Viking Supply,2016-10-25
Havila Fortress,,"62.2999, 5.650062",PSV,I opplag,http://img1.sysla.no/wp-content/uploads/19085251/HavilaFortresss.jpg,Bahamas,2016-10-19,,Havila,2016-10-25
World Emerald,,"36.50333, -6.262764",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/31102752/World-Emerald.jpg,NOR,2016-10-13,,World Wide Supply,2016-10-31
Havila Favour,,"62.32131, 5.6722",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/31103122/Havila-Favour.jpg,NOR,2016-10-27,,Havila,2016-10-31
Ramform Vanguard,,"60.4185, 5.3023",Seismikk,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/31104503/Ramform-Vanguard.jpg,Bahamas,2016-10-31,,PGS,2016-10-31
Skandi Stord,,"60.09155, 5.223516",AHTS,Solgt fra opplag,http://img1.maritime.no/wp-content/uploads/2016/08/02110132/skandi-stord.jpg,NOR,2016-07-14,2016-11-02,DOF,2016-11-02
Normand Ivan,,"59.39747, 5.269073",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/07082900/Normand-Ivan.jpg,NOR,2016-11-07,,Solstad,2016-11-07
Bourbon Monsoon,,"62.09492, 5.549075",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/07135502/Bourbon-Monsoon.jpg,NOR,2016-11-06,,Bourbon,2016-11-07
Sea Piloit,,"59.03792, 5.666067",Flerbruksskip,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/14133946/Sea-Pilot.jpg,NOR,2016-11-14,,Chriship,2016-11-14
Sea Sailor,,"59.03756, 5.665807",Beredskap,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/14134131/Sea-Sailor.jpg,NOR,2016-11-14,,Chriship,2016-11-14
Troms Artemis,,"63.61601, 9.728577",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/14134555/troms-artemis.jpg,NOR,2016-11-11,,Troms offshore,2016-11-14
Nao Fighter,,"61.93859, 5.120302",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/14134857/Nao-Fighter.jpg,NOR,2016-11-14,,Nordic American Offshore,2016-11-14
Vantage,Eidesvik,"59.61112, 5.242087",Seismikk,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Eidesvik-Vantage.jpg,NIS,2014-10-15,2016-11-14,Eidesvik,
Veritas Viking,,"59.81787, 5.269372",Seismikk,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/09/26094918/Veritas-Viking.jpg,NIS,2016-08-11,2016-11-14,Eidesvik,2016-09-26
Dina Scout,,,PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/18133812/Dina-Scout.jpg,NOR,2016-11-17,,Myklebusthaug,2016-11-18
Siem Pearl,Siem Offshore,"61.93109, 5.451863",AHTS,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/SiemPearl.jpg,NOR,2015-11-02,,Siem Offshore,
Norman Borg,,"59.33924, 5.298447",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/18134531/Norman-Borg.jpg,NOR,2016-11-17,,Solstad,2016-11-18
Normand Atlantic,,"59.33817, 5.297567",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/18134751/Normand-Atlantic.jpg,NOR,2016-11-16,,Solstad,2016-11-18
Ramform Challenger,,"28.50491, -16.17426",Seismikk,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Ramform-Challenger.jpg,Bahamas,2015-10-21,,PGS,
Olympic Princess,Olympic,"62.47427, 6.345813",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/11/OlympicPrincess.jpg,NIS,2015-11-11,,Olympic,2016-11-18
Island Duke,Island Offshore,"62.33573, 5.850273",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/island-duchess.jpg,Bahamas,2015-02-11,,Island Offshore,2016-11-17
Sea Cheetah,,"0.98866, 103.3429",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21114824/Sea-Cheetah.jpg,Kypros,2016-11-09,,Deep Sea Supply,2016-11-21
Sea Eagle 1,,"1.030943, 104.1231",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21115406/Sea-Eagle-1.jpg,Malaysia,2016-11-03,,Deep Sea Supply,2016-11-21
,,,,,,,,,,
Sea Ocelot,,"1.220533, 104.079",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21115647/Sea-Ocelot.jpg,Malaysia,2016-11-15,,Deep Sea Supply,2016-11-21
Sea Jackal,,"28.49707, -16.20638",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21115802/Sea-Jackal.jpg,Kypros,2016-11-10,,Deep Sea Supply,2016-11-21
Sea Badger,,"0.9955834, 103.3406",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21115959/Sea-Badger.jpg,Panama,2016-11-02,,Deep Sea Supply,2016-11-21
Sea Pike,,"1.095868, 104.1559",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21120245/Sea-Pike.jpg,Kypros,2016-11-03,,Deep Sea Supply,2016-11-21
Sea Pollock,,"28.4968, -16.20706",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21120431/Sea-Pollock.jpg,Kypros,2016-11-21,,Deep Sea Supply,2016-11-21
Sea Turbot,,"0.9946, 103.3453",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21120629/Sea-Turbot.jpg,Kypros,2016-11-15,,Deep Sea Supply,2016-11-21
Sea Witch,,"28.49667, -16.207",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21120829/Sea-Witch.jpg,Kypros,2016-11-15,,Deep Sea Supply,2016-11-21
Sea Surfer,,"1.076617, 104.1558",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21121044/Sea-Surfer.jpg,Kypros,2016-11-16,,Deep Sea Supply,2016-11-20
Sea Swan,,"0.99195, 103.3412",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21121554/Sea-Swan.jpg,Kypros,2016-11-15,,Deep Sea Supply,2016-11-20
Sea Lynx,,"51.79315, 4.618238",AHTS,Solgt fra opplag,http://img1.maritime.no/wp-content/uploads/2016/02/01140934/Sea-Lynx.jpg,NOR,2016-01-28,,Deep Sea Supply,2016-11-21
Sea Falcon,Deep Sea Supply,"58.11759, 7.045217",PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Sea-Falcon.jpg,Kypros,2015-07-20,,Deep Sea Supply,2016-11-20
Sea Spear,Deep Sea Supply,"1.001117,  103.3423",PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/SeaSpear.jpg,Kypros,2015-10-31,,Deep Sea Supply,2016-11-21
Sea Swift,Deep Sea Supply,"1.000333, 103.344",PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2014/11/seaSwift_DeepSeaSupply.jpg,Kypros,2015-11-01,,Deep Sea Supply,2016-11-20
Sea Jaguar,," 0.9978, 103.3407",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21115150/Sea-Jaguar.jpg,Kypros,2016-11-10,,Deep Sea Supply,2016-11-20
Normand Seven,,"59.35957, 5.287318",Flerbruksskip,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21131755/Normand-Seven.jpg,NIS,2016-11-20,,Solstad,2016-11-20
Normand Fortress,,"59.39688, 5.269142",Flerbruksskip,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21132044/Normand-Fortress.jpg,NIS,2016-11-16,,Solstad,2016-11-21
Normand Progress,,"59.35949, 5.287745",Flerbruksskip,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21132307/Normand-Progress.jpg,Storbritannia,2016-11-16,,Solstad,2016-11-21
Nor Captain,,"1.315227, 103.6482",AHTS,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21132617/Nor-captain.jpg,Singapore,2016-11-16,,Solstad,2016-11-21
Sea Frost,,"5.955983, 80.1048",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/21121317/Sea-Frost.jpg,Kypros,2016-11-15,,Deep Sea Supply,2016-11-21
Far Service,Farstad,"62.44849, 6.281515",PSV,Varslet ut av opplag,http://www.maritime.no/wp-content/uploads/2015/10/far-service.jpeg,Storbritannia,2015-10-08,,Farstad,
Far Supporter,,"62.44855, 6.281593",PSV,Varslet ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23130425/Far-Supporter.jpeg,Storbritannia,2016-09-09,2016-08-12,Farstad,2016-09-23
KL Arendalfjord,,"59.13897, 9.636982",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/11/22102028/kl_arendalfjord.jpeg,Kypros,2016-11-16,,K-line,2016-11-22
NSO Champion,Nor Supply,"56.54477, 21.03768",PSV,Skrapet fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/NSO-champion.jpg,Gibraltar,2015-01-21,2016-11-17,Nor Supply,2016-11-24
Grimshader,COG Offshore,"11.25403, -74.21671",PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/cog_grimshader.jpg,Barbados,2015-05-11,2016-11-16,COG Offshore,2016-11-23
World Sapphire,,"36.50302, -6.26275",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/31102753/Worls-Sapphire.jpg,NIS,2016-10-31,,World Wide Supply,2016-10-31
