Rigid,Rigname,Type,Operatorcompany,From year,From month,From day,To year,To month,To day,Dayrate,Kommentarer,LastEditedOn,CreatedOn
58,Noble Hans Deul,Kontrakt,Shell,2011,2,,2013,1,,"$175,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
58,Noble Hans Deul,Kontrakt,Shell,2013,2,,2014,7,,"$242,500",,9/7/2012 2:50:19,9/7/2012 2:49:49
58,Noble Hans Deul,Kontrakt,Shell,2014,8,,2016,7,,"$242,500",,3/7/2014 1:47:39,3/7/2014 1:47:17
58,Noble Hans Deul,Kontrakt,Shell,2016,8,,2018,7,,"$88,600",,,
59,Paragon B391,Kontrakt,Centrica,2012,3,,2013,3,,"$118,000",,7/21/2015 6:04:03,6/8/2012 8:55:53
59,Paragon B391,Kontrakt,Centrica,2013,4,,2016,4,,"$150,000",,7/21/2015 6:04:04,6/21/2013 3:58:11
59,Paragon B391,Avvik,Stacked,2016,5,,2020,1,,$0,,,
60,Rowan Gorilla V,Kontrakt,Total,2012,1,,2012,5,,"$180,000",,6/20/2013 5:21:40,6/8/2012 8:55:53
60,Rowan Gorilla V,Kontrakt,Total,2012,6,,2013,5,,"$200,000",,1/8/2013 5:18:07,6/8/2012 8:55:53
60,Rowan Gorilla V,Avvik,Yard,2013,6,,2013,10,,,,6/28/2013 1:19:26,6/28/2013 1:15:33
60,Rowan Gorilla V,Kontrakt,Total,2013,6,,2016,8,,"$170,000",,5/20/2015 0:01:18,7/18/2013 23:23:37
60,Rowan Gorilla V,Avvik,Yard,2015,6,,2015,7,,$0,,12/13/2013 0:27:04,12/13/2013 0:26:06
60,Rowan Gorilla V,Avvik,Stacked,2015,8,,2020,1,,$0,,,
61,Rowan Gorilla VI,Kontrakt,BG,2012,12,,2014,5,,"$200,000",,3/21/2014 1:54:16,6/8/2012 8:55:53
61,Rowan Gorilla VI,Avvik,Yard,2014,6,,2014,5,,$0,,3/21/2014 1:53:56,1/8/2013 5:16:01
61,Rowan Gorilla VI,Kontrakt,ConocoPhillips,2014,6,,2018,2,,"$355,000",,2/27/2015 5:19:48,6/8/2012 8:55:53
62,Rowan Gorilla VII,Kontrakt,Apache,2012,1,,2012,4,,"$180,000",,6/11/2012 3:27:33,6/8/2012 8:55:53
62,Rowan Gorilla VII,Kontrakt,Apache,2012,5,,2012,5,,"$180,000",,6/11/2012 3:28:09,6/8/2012 8:55:53
62,Rowan Gorilla VII,Kontrakt,Apache,2012,6,,2013,11,,"$250,000",,3/7/2014 2:05:31,6/11/2012 3:28:21
62,Rowan Gorilla VII,Avvik,Yard,2013,12,,2014,2,,$0,,3/7/2014 2:05:35,4/19/2013 3:32:24
62,Rowan Gorilla VII,Kontrakt,Apache,2014,3,,2016,10,,"$181,000",,7/29/2015 1:29:36,3/7/2014 2:05:13
62,Rowan Gorilla VII,Avvik,Yard,2015,6,,2015,6,,$0,,7/21/2015 4:40:34,5/20/2015 0:13:40
62,Rowan Gorilla VII,Kontrakt,Perenco,2016,11,,2017,3,,"$100,000",,,
63,Rowan Norway,Kontrakt,Xcite Energy,2012,1,,2012,10,,"$250,000",,6/20/2013 5:21:48,6/8/2012 8:55:53
63,Rowan Norway,Kontrakt,ConocoPhillips,2012,12,,2014,2,,"$350,000",,3/7/2014 2:07:46,6/8/2012 8:55:53
63,Rowan Norway,Avvik,Yard,2014,3,,2014,3,,$0,,12/19/2013 23:56:26,12/19/2013 23:56:02
63,Rowan Norway,Kontrakt,ConocoPhillips,2014,4,,2016,7,,"$350,000",,3/7/2014 2:07:49,3/7/2014 2:07:21
63,Rowan Norway,Avvik,Stacked,2016,8,,2020,1,,$0,,,
64,Rowan Viking,Kontrakt,Total UK,2012,1,,2012,12,,"$210,000",,6/20/2013 5:22:02,6/8/2012 8:55:53
64,Rowan Viking,Kontrakt,Total UK,2013,1,,2014,4,,"$246,000",,3/21/2014 1:50:07,1/8/2013 5:26:46
64,Rowan Viking,Avvik,Yard,2014,5,,2014,8,,$0,,3/21/2014 1:50:28,1/8/2013 5:30:11
64,Rowan Viking,Kontrakt,Lundin,2014,9,,2015,1,,"$350,000",,3/7/2014 2:15:09,11/29/2012 0:12:56
64,Rowan Viking,Kontrakt,Lundin,2016,1,,2017,10,,"$275,000",,,
65,Borgsten Dolphin,Kontrakt,Valiant,2011,11,,2012,7,,"$262,000",,6/8/2012 8:56:07,6/8/2012 8:55:57
65,Borgsten Dolphin,Avvik,Yard,2012,10,,2012,10,,$0,,3/10/2014 12:49:42,6/8/2012 8:55:57
65,Borgsten Dolphin,Kontrakt,Total,2012,11,,2015,9,,"$204,000",,12/10/2013 1:28:24,6/8/2012 8:55:57
65,Borgsten Dolphin,Kontrakt,Total,2015,10,,2018,1,,"$166,000",,,
66,Byford Dolphin,Kontrakt,BP,2010,4,,2013,3,,"$324,000",,6/8/2012 8:56:07,6/8/2012 8:55:57
66,Byford Dolphin,Kontrakt,BP,2013,4,,2016,9,,"$345,000",,6/11/2012 0:19:08,6/8/2012 8:55:53
66,Byford Dolphin,Avvik,Stacked,2016,10,,2020,1,,$0,,,
67,Paragon MSS1,Kontrakt,Centrica/Maersk Oil,2010,12,,2012,12,,"$247,000",,7/21/2015 6:05:14,6/8/2012 8:55:53
67,Paragon MSS1,Kontrakt,Maersk Oil,2013,1,,2013,4,,"$365,000",,1/8/2013 4:50:27,6/8/2012 8:55:53
67,Paragon MSS1,Avvik,Inspection,2013,5,,2013,5,,$0,,6/21/2013 3:50:04,6/21/2013 3:47:42
67,Paragon MSS1,Kontrakt,Nexen,2013,6,,2015,5,,"$277,000",,7/28/2015 2:42:11,1/8/2013 4:49:59
67,Paragon MSS1,Kontrakt,Nexen,2015,6,,2016,1,,"$225,000",,7/28/2015 2:42:18,7/28/2015 2:41:54
67,Paragon MSS1,Avvik,IDLE,2016,2,,2016,7,,$0,,,
67,Paragon MSS1,Kontrakt,Nexen,2016,8,,2016,10,,"$110,000",,,
67,Paragon MSS1,Avvik,IDLE,2016,11,,2020,1,,$0,,,
68,Ocean Nomad,Kontrakt,BG International,2011,9,20,2012,8,10,"$235,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
68,Ocean Nomad,Kontrakt,Fairfield Cedrus,2012,10,,2013,1,,"$280,000",,3/7/2013 0:42:47,6/8/2012 8:55:53
68,Ocean Nomad,Kontrakt,Dana Petroleum,2013,2,,2013,3,,"$280,000",,3/7/2013 0:43:02,6/8/2012 8:55:53
68,Ocean Nomad,Kontrakt,First Oil,2013,3,3,2013,3,,"$280,000",,3/7/2013 0:45:35,3/7/2013 0:43:19
68,Ocean Nomad,Kontrakt,Balin Energy,2013,5,,2013,6,,"$410,000",,3/7/2013 0:44:46,3/7/2013 0:44:17
68,Ocean Nomad,Avvik,Yard,2013,6,,2013,8,,$0,,3/7/2013 0:44:04,6/8/2012 8:55:53
68,Ocean Nomad,Kontrakt,Dana Petroleum,2013,8,,2015,6,,"$330,000",,7/28/2015 2:36:15,6/8/2012 8:55:53
68,Ocean Nomad,Avvik,Stacked,2015,7,,2020,1,,$0,IDLE,8/31/2015 5:36:58,7/28/2015 2:36:22
69,Ocean Princess,Kontrakt,EnQuest,2012,1,,2014,7,,"$230,000",,8/12/2014 2:53:37,6/8/2012 8:55:53
69,Ocean Princess,Kontrakt,EnQuest,2014,9,,2014,11,,"$300,000",,8/12/2014 2:54:04,3/7/2013 0:49:37
69,Ocean Princess,Kontrakt,Ithaca,2014,8,,2015,2,,"$345,000",,3/18/2015 6:43:50,5/26/2014 5:05:36
69,Ocean Princess,Avvik,Ready stacked,2015,3,,2020,1,,$0,,8/31/2015 5:36:08,3/18/2015 6:43:53
70,Paul B. Loyd Jr.,Kontrakt,BP,2012,3,,2013,2,,"$345,000",,6/10/2012 12:16:53,6/10/2012 11:46:40
70,Paul B. Loyd Jr.,Kontrakt,BP,2013,3,,2013,5,,"$345,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
70,Paul B. Loyd Jr.,Kontrakt,BP,2013,6,,2013,8,,"$345,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
70,Paul B. Loyd Jr.,Kontrakt,BP,2013,9,,2015,2,,"$440,000",,5/19/2014 0:10:16,6/15/2012 4:10:34
70,Paul B. Loyd Jr.,Kontrakt,BP,2015,3,,2017,6,,"$450,000",,5/19/2014 0:10:42,5/19/2014 0:09:49
71,Sedco 711,Kontrakt,Talisman,2012,5,,2013,6,,"$275,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
71,Sedco 711,Kontrakt,Talisman,2013,7,,2014,4,,"$350,000",,6/15/2012 4:09:17,6/15/2012 4:08:32
71,Sedco 711,Kontrakt,Talisman,2014,5,,2015,12,,"$350,000",,7/21/2015 5:16:26,6/15/2012 4:11:43
71,Sedco 711,Avvik,Stacked,2016,1,,2020,1,,$0,,,
72,Sedco 714,Kontrakt,Total,2011,6,,2012,11,,"$254,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
72,Sedco 714,Kontrakt,Total,2012,12,,2014,4,,"$401,000",,5/19/2014 0:13:02,9/7/2012 2:46:16
72,Sedco 714,Kontrakt,Total,2014,9,,2015,8,,"$430,000",,5/19/2014 0:13:19,6/21/2013 4:19:20
72,Sedco 714,Kontrakt,Total,2015,9,,2016,1,,"$435,000",,7/21/2015 5:16:54,5/19/2014 0:11:41
72,Sedco 714,Avvik,Stacked,2016,2,,2020,1,,$0,,,
73,Stena Spey,Kontrakt,EnQuest,2012,1,,2012,11,,"$355,000",,3/7/2014 4:19:53,6/8/2012 8:55:53
73,Stena Spey,Kontrakt,EnQuest,2013,1,,2016,9,,"$355,000",,1/19/2015 0:37:29,6/21/2013 4:40:07
73,Stena Spey,Avvik,IDLE,2016,10,,2020,1,,$0,,,
74,Transocean John Shaw,Kontrakt,Taqa,2012,3,,2012,9,,"$276,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
74,Transocean John Shaw,Kontrakt,EOG,2012,10,,2012,11,,"$305,000",,6/15/2012 4:16:34,6/8/2012 8:55:53
74,Transocean John Shaw,Kontrakt,Taqa,2012,12,,2013,12,,"$320,000",,3/7/2014 4:04:22,6/8/2012 8:55:53
74,Transocean John Shaw,Avvik,Yard,2014,1,,2014,4,,$0,,3/7/2014 4:04:40,6/28/2013 1:03:45
74,Transocean John Shaw,Kontrakt,Taqa,2014,5,,2016,1,,"$360,000",,3/7/2014 4:05:18,9/7/2012 2:49:00
74,Transocean John Shaw,Avvik,Stacked,2016,2,,2020,1,,$0,,,
75,Transocean Prospect,Kontrakt,Nexen,2011,6,,2013,1,,"$246,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
75,Transocean Prospect,Kontrakt,Nexen,2013,2,,2013,7,,"$252,000",,3/7/2014 4:07:50,6/8/2012 8:55:53
75,Transocean Prospect,Kontrakt,Nexen,2013,8,,2014,1,,,,3/7/2014 4:08:15,3/7/2014 4:07:56
75,Transocean Prospect,Kontrakt,ConocoPhillips,2014,2,,2014,7,,"$405,000",,3/7/2014 4:08:24,9/19/2012 0:17:08
75,Transocean Prospect,Kontrakt,ConocoPhillips,2014,8,,2015,8,,"$375,000",,8/4/2015 2:08:53,9/19/2012 0:20:03
75,Transocean Prospect,Avvik,Cold Stacked,2015,9,,2020,1,,$0,,9/11/2015 0:19:51,9/11/2015 0:19:28
76,West Phoenix,Kontrakt,Total UK,2012,1,,2015,8,,"$458,000",,10/2/2015 5:11:44,6/8/2012 8:55:53
76,West Phoenix,Avvik,IDLE,2015,9,,2016,3,,"$75,000",,10/2/2015 5:12:35,10/2/2015 5:11:13
76,West Phoenix,Kontrakt,Total UK,2016,4,,2016,9,,"$285,000",,10/2/2015 5:13:20,10/2/2015 5:11:09
76,West Phoenix,Avvik,Stacked,2016,10,,2017,1,,$0,,,
76,West Phoenix,Kontrakt,Total,2017,2,,2017,5,,"$145,000",,,
76,West Phoenix,Kont,TBA,2017,6,,2017,6,,NA,,,
77,Wilhunter,Kontrakt,MPX,2012,3,,2012,3,,"$245,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
77,Wilhunter,Kontrakt,MPX,2012,4,,2012,4,,"$245,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
77,Wilhunter,Kontrakt,Ithaca,2012,5,,2012,7,,"$225,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
77,Wilhunter,Kontrakt,Suncor,2012,8,,2012,12,,"$300,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
77,WilHunter,Kontrakt,Suncor,2013,1,,2013,3,,"$300,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
77,Wilhunter,Kontrakt,Hess,2013,4,,2014,5,,"$360,000",,6/21/2013 2:21:45,6/8/2012 8:55:53
77,Wilhunter,Kontrakt,Hess,2014,6,,2015,11,,"$385,000",,6/21/2013 2:22:00,3/7/2013 0:34:40
77,Wilhunter,Avvik,Warm stacked,2015,7,,2020,1,,$0,,11/19/2015 1:58:40,5/26/2014 3:25:38
78,WilPhoenix,Kontrakt,Hess,2012,3,,2012,9,,"$255,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
78,WilPhoenix,Kontrakt,Premier Oil,2012,10,,2012,11,,"$333,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
78,WilPhoenix,Kontrakt,Premier Oil,2012,12,,2013,9,,"$315,000",,6/21/2013 2:23:00,6/8/2012 8:55:53
78,WilPhoenix,Kontrakt,Premier Oil,2013,10,,2014,2,,"$351,000",,6/21/2013 2:23:54,6/21/2013 2:22:52
78,WilPhoenix,Kontrakt,Premier Oil,2014,3,,2014,5,,"$315,000",,6/21/2013 2:23:57,6/21/2013 2:23:18
78,WilPhoenix,Kontrakt,Premier Oil,2014,6,,2014,10,,"$442,500",,3/7/2014 0:52:04,12/10/2013 1:15:34
78,WilPhoenix,Kontrakt,Apache,2014,11,,2017,10,,"$387,500",,11/19/2015 1:58:31,8/13/2013 5:35:02
78,WilPhoenix,Avvik,Yard,2016,1,,2016,1,,$0,,1/18/2015 23:48:58,5/26/2014 3:26:53
79,GSF Arctic III,Kontrakt,Nexen,2012,3,,2012,8,,"$280,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
79,GSF Arctic III,Kontrakt,Nexen,2012,9,,2012,11,,"$316,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
79,GSF Arctic III,Kontrakt,ATP Oil and Gas,2012,12,,2013,3,,"$335,000",,6/21/2013 4:32:45,7/18/2012 23:59:47
79,GSF Arctic III,Kontrakt,Chevron,2013,4,,2013,5,,"$360,000",,6/21/2013 4:36:17,6/21/2013 4:32:48
79,GSF Arctic III,Kontrakt,ATP Oil and Gas,2013,6,,2013,7,,"$313,000",,6/21/2013 4:36:19,6/21/2013 4:34:03
79,GSF Arctic III,Kontrakt,Chevron,2013,8,,2013,8,,"$360,000",,6/21/2013 4:36:21,6/21/2013 4:34:31
79,GSF Arctic III,Kontrakt,Chevron,2013,9,,2014,9,,"$410,000",,5/28/2014 6:08:24,6/21/2013 4:34:39
79,GSF Arctic III,Avvik,Retired,2014,10,,2020,1,,$0,,8/4/2015 2:07:16,1/15/2015 3:59:05
80,Sedco 704,Kontrakt,Talisman,2012,4,,2012,6,,"$280,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
80,Sedco 704,Kontrakt,Chevron,2012,7,,2012,11,,"$310,000",,6/15/2012 4:08:08,6/15/2012 4:07:35
80,Sedco 704,Kontrakt,Maersk Oil,2013,6,,2016,1,,"$373,000",,7/21/2015 5:16:02,6/15/2012 4:12:54
80,Sedco 704,Kontrakt,Maersk Oil,2016,2,,2016,2,,"$219,000",,,
80,Sedco 704,Kontrakt,Zennor Petroleum,2016,3,,2016,6,,"$150,000",,,
80,Sedco 704,Kontrakt,Independent Oil & Gas,2016,7,,2016,8,,NA,,,
80,Sedco 704,Avvik,Stacked,2016,9,,2020,1,,NA,,,
81,Deepsea Stavanger,Kontrakt,BP,2011,11,,2014,10,,"$450,000",,6/21/2013 3:28:42,6/8/2012 8:55:53
81,Deepsea Stavanger,Kontrakt,BP,2014,11,,2015,12,,"$540,000",,5/20/2014 0:00:24,5/19/2014 23:59:21
81,Deepsea Stavanger,Avvik,IDLE,2016,1,,2016,3,,$0,,9/7/2015 4:32:16,9/7/2015 4:31:50
81,Deepsea Stavanger,Kontrakt,JX Nippon,2016,4,,2016,6,,"$275,000",,,
81,Deepsea Stavanger,Avvik,IDLE,2016,7,,2017,3,,$0,,,
81,Deepsea Stavanger,Kontrakt,Wintershall,2017,4,,2018,11,,"$300,000",,9/7/2015 4:31:45,9/7/2015 4:29:42
82,Leiv Eiriksson,Kontrakt,Borders & Southern,2012,1,,2012,10,,"$530,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
82,Leiv Eiriksson,Avvik,Yard,2012,11,,2013,3,,$0,Mob. new contract,6/18/2013 0:52:29,6/8/2012 8:55:53
82,Leiv Eiriksson,Kontrakt,Rig Management Norway,2013,4,,2016,3,,"$545,000",,2/27/2015 1:38:37,6/8/2012 8:55:53
82,Leiv Eiriksson,Kontrakt,Lundin,2016,8,,2017,3,,"$145,000",,7/31/2015 5:14:26,2/27/2015 1:38:16
82,Leiv Eiriksson,Avvik,Yard,2016,3,,2016,7,,$0,,,
83,Deepsea Aberdeen,Avvik,Under construction,2011,12,,2014,10,,$0,,6/10/2012 10:08:49,6/10/2012 10:08:28
83,Deepsea Aberdeen,Kontrakt,BP,2014,11,,2021,10,,"$470,000",,6/10/2012 10:07:38,6/8/2012 8:55:53
84,J W McLean,Avvik,Retired,2010,7,,2099,1,,$0,Scrap,7/31/2015 5:12:56,6/8/2012 8:55:53
85,Sedco 712,Avvik,Stacked,2012,1,,2013,9,,$0,,6/28/2013 0:17:26,6/8/2012 8:55:53
85,Sedco 712,Kontrakt,Talisman,2013,10,,2016,10,,"$380,000",,3/7/2014 3:54:54,6/21/2013 4:17:44
85,Sedco 712,Kontrakt,ConocoPhillips,2016,11,,2017,1,,NA,,,
85,Sedco 712,Kontrakt,Fairfield Energy,2017,4,,2018,5,,NA,,,
86,Maersk Intrepid,Avvik,Under construction,2011,2,,2014,4,,$0,,3/24/2014 1:14:25,6/8/2012 8:55:53
86,Maersk Intrepid,Kontrakt,Total,2014,7,,2018,7,,"$377,000",4x1-year options,3/24/2014 1:14:27,6/8/2012 8:55:53
87,Maersk Interceptor,Avvik,Under construction,2011,2,,2014,9,,$0,,11/24/2014 1:14:30,6/8/2012 8:55:53
87,Maersk Interceptor,Kontrakt,Det norske Oljeselskap,2014,10,,2017,10,,"$377,000",,11/24/2014 1:14:30,6/8/2012 8:55:53
87,Maersk Interceptor,Kontrakt,Det norske Oljeselskap,2017,11,,2019,10,,"$381,000",,11/24/2014 1:14:37,6/7/2013 0:18:51
89,Statoil CAT J1,Avvik,Under construction,2012,2,,2015,6,,$0,,6/21/2013 2:42:11,6/11/2012 22:58:59
89,Statoil CAT J1,Kontrakt,Noble,2015,7,,2019,6,,"$410,000",,6/21/2013 2:42:10,6/21/2013 2:41:07
90,Askeladden,Kontrakt,Gullfaks,2017,5,,2025,4,,NA,,7/31/2015 5:02:12,6/11/2012 23:00:30
90,Askeladden,Avvik,Under construction,2012,1,,2017,4,,$0,,7/31/2015 5:13:54,7/31/2015 5:01:46
91,COSLInnovator,Kontrakt,Statoil,2012,6,,2016,2,,"$335,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
91,COSLInnovator,Avvik,Yard,2015,12,,2016,2,,,SPS and repair,,
91,COSLInnovator,Avvik,IDLE,2016,3,,2020,1,,,Contract terminated,,
92,COSLPromoter,Kontrakt,Statoil,2012,6,,2020,6,,"$335,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
93,COSLProspector,Avvik,Under construction,2012,1,,2015,5,,$0,,7/28/2015 3:00:45,6/10/2012 10:38:29
93,COSLProspector,Kontrakt,CNOOC,2015,6,,2015,10,,Private,,10/2/2015 5:07:12,7/28/2015 3:00:27
93,COSLProspector,Avvik,Ready stacked,2015,11,,2020,1,,$0,,11/11/2015 0:14:13,11/11/2015 0:13:49
94,Island Innovator,Avvik,Under construction,2011,1,,2013,7,,$0,,6/27/2013 0:22:27,6/10/2012 11:31:40
94,Island Innovator,Kontrakt,Lundin,2013,8,,2016,2,,Private,Dayrate is private,10/2/2015 5:06:37,6/8/2012 8:55:53
94,Island Innovator,Avvik,Ready stacked,2016,3,,2020,1,,$0,,,
94,Island Innovator,Kontrakt,Lundin,2017,3,,2017,4,,Private,,,
95,Scarabeo 8 ,Kontrakt,ENI,2012,6,,2017,6,,"$460,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
95,Scarabeo 8 ,Avvik,Yard,2016,8,,2016,11,,$0,SPS/Supsension,,
96,Songa Equinox,Avvik,Under construction,2011,7,,2015,11,,,,3/7/2014 3:31:18,6/8/2012 8:55:53
96,Songa Equinox,Kontrakt,Statoil,2015,12,,2022,10,,"$490,000",,8/28/2015 1:21:02,6/8/2012 8:55:53
97,Songa Endurance,Avvik,Under construction,2011,7,,2015,11,,,,5/26/2014 4:41:33,6/10/2012 11:12:55
97,Songa Endurance,Kontrakt,Statoil,2015,12,,2023,1,,"$490,000",,8/28/2015 1:21:17,6/8/2012 8:55:53
98,Songa Encourage,Avvik,Under construction,2012,2,,2016,3,,,,3/7/2014 3:30:45,6/10/2012 11:13:26
98,Songa Encourage,Kontrakt,Statoil,2016,4,,2023,6,,"$453,000",,8/28/2015 1:23:12,6/8/2012 8:55:53
99,Songa Enabler,Avvik,Under construction,2012,2,,2016,7,,,,3/7/2014 3:30:20,6/10/2012 11:10:14
99,Songa Enabler,Kontrakt,Statoil,2016,8,,2023,8,,"$457,000",,8/28/2015 1:23:16,6/8/2012 8:55:53
99,Songa Enabler,Avvik,Suspended,2016,12,,2017,3,,"$343,000",,,
100,Statoil CAT B1,Avvik,Cancelled,2013,6,,2019,12,,,,7/31/2015 5:13:44,6/8/2012 8:55:53
101,North Dragon,Avvik,Under construction,2012,2,,2017,1,,$0,,11/10/2015 2:35:41,6/8/2012 8:55:53
104,Maersk Integrator,Avvik,Under construction,2012,5,,2015,5,,$0,,6/25/2015 23:32:13,6/8/2012 8:55:53
104,Maersk Integrator,Kontrakt,Statoil,2015,6,,2019,6,,"$397,000",,6/25/2015 23:32:14,6/8/2012 8:55:53
110,GSF Galaxy I,Kontrakt,Nexen,2012,6,,2013,8,,"$133,000",,6/21/2013 4:31:27,6/8/2012 8:55:53
110,GSF Galaxy I,Kontrakt,Total,2013,9,,2017,4,,"$226,000",,8/12/2014 0:20:15,12/13/2013 3:30:19
111,West Linus,Avvik,Under construction,2012,1,,2014,4,,$0,,3/7/2014 2:25:44,6/10/2012 10:42:17
111,West Linus,Kontrakt,ConocoPhillips,2014,5,,2019,5,,"$344,000",,2/27/2015 1:55:15,6/8/2012 8:55:53
111,West Linus,Avvik,ConocoPhillips,2019,5,,2021,4,,"$344,000",Option,2/27/2015 3:43:00,2/27/2015 1:55:23
117,Askepott,Avvik,Under construction,2012,10,,2017,5,,$0,,6/21/2013 2:07:11,10/3/2012 23:04:03
117,Askepott,Kontrakt,Oseberg,2017,6,,2024,2,,NA,,6/21/2013 2:48:18,6/21/2013 2:42:29
118,Bollsta Dolphin,Avvik,Yard,2012,1,,2015,10,,$0,,3/10/2014 12:49:46,10/30/2012 1:19:53
118,Bollsta Dolphin,Avvik,IDLE,2015,12,,2020,11,,$0,,3/7/2014 1:05:28,10/30/2012 1:20:39
119,Maersk Invincible,Avvik,Under construction,2013,9,,2017,3,,$0,,3/7/2014 4:49:10,9/24/2013 23:41:21
119,Maersk Invincible,Kontrakt,BP,2017,4,,2022,3,,"$444,000",,3/7/2014 4:49:03,9/24/2013 23:41:45
120,Blackford Dolphin,Avvik,Yard,2013,10,,2014,5,,$0,,5/26/2014 3:51:04,12/19/2013 1:04:20
120,Blackford Dolphin,Kontrakt,MPX,2014,6,,2014,7,,"$419,000",,5/26/2014 3:51:14,12/19/2013 0:39:58
120,Blackford Dolphin,Kontrakt,Capricon,2014,8,,2014,10,,"$467,000",,5/26/2014 3:51:22,12/19/2013 0:40:48
120,Blackford Dolphin,Kontrakt,Nexen,2014,12,,2015,8,,"$428,000",,8/5/2015 0:30:03,12/19/2013 0:42:11
120,Blackford Dolphin,Kontrakt,Chevron,2015,9,,2017,1,,"$428,000",option 02/2017-12/2017,5/26/2014 3:52:13,12/19/2013 0:43:18
121,Beacon Atlantic,Avvik,Under construction,2014,1,,2017,1,,$0,,1/15/2014 23:14:03,1/15/2014 23:13:30
131,Ensco 120,Kontrakt,Nexen,2014,3,,2016,7,,"$230,000",,7/21/2015 4:49:43,5/28/2014 5:07:05
131,Ensco 120,Avvik,Stacked,2016,8,,2020,1,,$0,,,
132,Ensco 121,Kontrakt,Wintershall,2014,5,,2016,8,,"$230,000",,5/28/2014 5:08:44,5/28/2014 5:08:01
132,Ensco 121,Kontrakt,Wintershall,2016,9,,2016,12,,"$90,000",,,
132,Ensco 121,Avvik,IDLE,2017,1,,2020,1,,$0,,,
133,Noble Sam Turner ,Kontrakt,Maersk Oil,2014,8,,2016,8,,"$215,000",,8/14/2014 23:31:27,8/14/2014 23:30:46
133,Noble Sam Turner ,Avvik,IDLE,2016,9,,2020,1,,$0,,,
134,Noble Regina Allen,Kontrakt,GDF Suez,2014,1,,2015,5,,"$233,000",,7/28/2015 2:58:56,7/28/2015 2:57:22
134,Noble Regina Allen,Kontrakt,GDF Suez,2015,6,,2015,8,,"$155,000",,7/28/2015 2:59:41,7/28/2015 2:59:06
134,Noble Regina Allen,Avvik,Ready stacked,2015,9,,2016,9,,$0,,9/11/2015 0:14:49,9/11/2015 0:14:30
134,Noble Regina Allen,Kontrakt,NA,2016,10,,2017,4,,NA,,,
135,Hercules Highlander,Avvik,Under construction,2013,1,,2016,7,,$0,,7/31/2015 5:06:04,7/29/2015 0:32:48
135,Hercules Highlander,Kontrakt,Maersk Oil,2016,8,,2021,8,,"$225,000",,7/29/2015 0:31:11,7/29/2015 0:15:13
136,Hercules Triumph,Avvik,Ready stacked,2015,6,,2019,12,,$0,,7/31/2015 5:13:32,7/29/2015 0:31:49
151,Prospector 1,Kontrakt,Total,2014,10,,2016,9,,"$185,000",,8/31/2015 5:56:17,7/29/2015 0:16:36
151,Prospector 1,Avvik,Yard,2016,10,,2016,11,,$0,,,
151,Prospector 1,Avvik,IDLE,2016,12,,2020,1,,,,,
137,Henry Goodrich,Avvik,Stacked,2015,6,,2016,4,,$0,,8/31/2015 5:54:37,7/29/2015 0:34:40
137,Henry Goodrich,Kontrakt,Husky,2016,5,,2018,3,,"$275,000",,,
150,Prospector 5,Kontrakt,Total,2014,12,,2017,11,,"$218,000",,8/31/2015 5:43:11,7/29/2015 0:18:24
138,Ocean Valiant,Kontrakt,Premier Oil,2015,6,,2016,8,,"$197,000",,10/2/2015 5:14:43,7/29/2015 0:40:37
138,Ocean Valiant,Kontrakt,Maersk Oil,2016,10,,2017,10,,NA,,,
139,Ocean Patriot,Kontrakt,Shell,2014,10,,2017,9,,"$400,000",,7/29/2015 0:43:28,7/29/2015 0:42:20
152,Ensco 122,Kontrakt,NAM,2016,1,,2017,1,,"$230,000",,,
152,Ensco 122,Avvik,IDLE,2017,2,,2017,3,,$0,,,
152,Ensco 122,Kontrakt ,Itacha,2017,4,,2017,4,,"$100,000",,,
