 , , , , ,Rig information,,,,,Rig Ratings,,Contract information,,,Vessel particulars,,,,,,,,,Vessel particulars continued,,,,,,,Lifting equipment,,,,,Drilling equipment,,,,,,,,,,,,Mud systems,,,,,,,,Riser & Riser tensioner data,,,,,,,BOP & BOP control data,,,,,,,,,Landing facilities,, , ,  , , 
 , ,  , , ,Vessel type,Vessel design,Construction date,Upgrade date,Classification,Maximum water depth rating,Maximum drilling depth,Status,Current contract,Area of operations,Total vessel power,Maximum vessel speed(transit speed),Quarters capacity,Length,Width,Transit draft,Operation draft,Maximum variable load (operating/survival),Moonpool size (ft. X ft),Thrusters (No. And H.P),Size of chain,Chain grade,Length of chain,Wire rope diameter,Length of wire rope,Anchor size (No x M.T),Pedestal crane 1,Pedestal crane 2,Pedestal crane 3,Pedestal crane 4,Riser handling crane,Derrick rating,Derrick manufacturer,Derrick footprint (ft.  X ft. X ft),Drawworks,Drawworks,Drill line size,Rotary table size,Iron roughneck,Top drive,Heave compensator(motion compensator),Heave compensator capacity (operating/pinned)),Pipe racking system,Mud pumps,Mud Pumps,Liquid Mud,Fuel Oil,Bulk storage capacity (mud/cement or total),Shale shakers,Desander,Desilter,Riser tensioner(total capacity),Riser tensioners,Riser tensioners,Diverter size,Riser size,Riser joint length,Riser manufacturer,BOP Operating pressure,C&K line size,Ram BOP's,Ram BOP's,Annular BOP's,Annular BOP's,Wellhead connector,BOP control system,BOP control system,Helideck (type),Helideck size (ft. x ft.),Imagebase,Caption image,Rig Information,Last Edited On,Created On
Rigid,Rig,Owner,Leaseholder, Current Status, , ,Yr.,Yr.,society,ft.,ft., ,expiration (Yr./month, ,H.P,knots,persons,ft.,ft.,ft.,ft.,M.T. , , ,In., ,ft.,in.,ft., ,M.T.,M.T.,M.T.,M.T.,M.T.,Max Hook kips,Name, ,H.P.,Manufacturer,In.,In.,Manufacturer & Model,Manufacturer & Model,Manufacturer,Kips ,Model,No.,Manufacturer & Model,bbls.,bbls.,Cu. ft.  ,No.,No.,No.,kips, ,Manufacturer,In.,O.D. In.,ft.,Manuf.,Ksi ,I.D. In.,No.,Manuf.,No.,Manuf.,Type,Type,Manuf., , , , , ,2/7/2014 0:10:55,1/24/2014 3:44:13
9,Maersk Resolute,Maersk Drilling,Hess,Aktiv,JU,MSC CJ 50-X100 MC,2008,,ABS,350,"30,000",Active,2014/08,Denmark,"9,920",,120,229,223,,,/4500,,,,,,,,,80,80,12,,,1500,MH,210x45x45,4500,Wirth GH,"1,75""","49,5""",MH Torquqmaster,MH DDM-750-AC,,,,3,Wirth TPK,"6,000","3,400",10550/7050,4,,,600,4,,"49,5""",,,,15,"3,06""",4,Hydril,1,Hydril,,Hydraulic,Hydril,Sikorsky S-61N & EH-101,74x74,"MaerskResolute-1.jpg, MaerskResolute-2.jpg, MaerskResolute-3.jpg",jackup,,2/7/2014 3:08:29,6/8/2012 7:37:29
10,Paragon C20051,Paragon Offshore,Total,Aktiv,JU,CFEM T-2005-C ,1982,2005,DNV+1A1,360,"25,000",Active,2014/06,UK/Holland,"10,000",4,96,245,283,,15,"2,650",,,,,,,,8.2,40,40,,,,1000,Joseph Paris,147x36x36,4600,NOV,"1,5""","37,5""",NOV AR3200,NOV TDS-8SA,,,,2,NOV HEX 240,"3,560","2,434",11000,4,,,,,,"49,5""",,,,15,,3,Cameron,1,Cameron,,,Koomey,-,-,NobleAlWhite-1.jpg,jackup,,2/20/2015 4:04:02,6/8/2012 7:37:29
11,Paragon C461,Paragon Offshore,Dana/GDF Suez/Taqa,Aktiv,JU,MSC CJ 46 ,1982,,DNV+1A1,205,"25,000",Active,2015/01,Holland,"7,680",,91,182,204,,13,"2,300",,,,,,,,,50,50,,,,1213,UIE,160x30x30,2000,NOV,,"49,5""",NOV AR3200,NOV TDS-4S,,,,3,NOV 12-P-160,"2,100","2,183",7062,4,1,,,,,"49,5""",,,,10,,3,Cameron,1,Hydril,,,Koomey,-,-,"NobleLyndaBossler-1.jpg, NobleLyndaBossler-2.jpg, NobleLyndaBossler-3.jpg",jackup,,2/20/2015 4:03:37,6/8/2012 7:37:29
12,Paragon C462,Paragon Offshore,GDF Suez,Aktiv,JU,MSC CJ 46 ,1982,,DNV+1A1,250,"25,000",Active,2014/01,Holland,"9,280",,80,182,203,,13,"3,040",,,,,,,,,50,50,,,,1213,UIE,147x30x30,1600,NOV,,"49,5""",NOV AR3200,NOV TDS-4S,,,,3,NOV 12-P-160,"2,300","3,600",12000,3,,,,,,"49,5""",,,,10,,3,Cameron,1,Hydril,,,Koomey,-,-,"NoblePietvanEde-1.jpg, NoblePietvanEde-2.jpg, NoblePietvanEde-3.jpg",jackup,,2/20/2015 4:04:45,6/8/2012 7:37:29
13,Paragon C463,Paragon Offshore,GDF Suez,Aktiv,JU,MSC CJ 46 ,1982,2004,ABS+A1,205,"25,000",Active,2014/01,Holland,"9,280",,92,182,203,30,13,"3,300",,,,,,,,,50,50,,,,1400,UIE,147x30x30,3000,Continental Emsco,,"49,5""",NOV AR3200,NOV TDS-4H,,,,3,Continental Emsco FB-1600,"2,800","3,868",8624,4,1,,,,,"49,5""",,,,10,,3,Cameron,3,Shaffer & Hydril,,,Koomey,-,-,"NobleRonaldHoope-1.jpg, NobleRonaldHoope-2.jpg, NobleRonaldHoope-3.jpg",jackup,,2/20/2015 4:05:10,6/8/2012 7:37:29
14,West Hercules,Seadrill,Statoil,Aktiv,SS,Gotaverken Enhanced GVA 7500,2008,,DNV,"9,850","32,810",Active,2016/12,Norway,"50,400",6,180,382,317,,75.5,"7,000",,8x4624,,,6561,,,,75,75,40,,40,2000,MH,,4500,Wirth,"2""","60,5""",AKMH,MH DDM-1000-AC-2M,MH,,MH Knuckle boom,4,Wirth TPK - 2200,"15,536","21,260",21895/ 9888,6,,,3600,6,Cameron,"21""","19,25""",75,Cameron,15,,5,Cameron,2,Cameron,Cameron C-pro,,,Sikorsky S-61 & S-92,-,"WestHercules-1.jpg, WestHercules-2.jpg, WestHercules-3.jpg",semisubmersible,,2/7/2014 0:24:53,6/8/2012 7:37:29
15,West Navigator,Seadrill,Shell,Aktiv,DS,MST converted,2000,N/A,DNV,"8,200","29,500",Active,2014/07,Norway,"43,000",12,117,830,138,43,43,/9000,39x63,4x6120,,,,,,,70,35,35,10,12,1300,MH,,2200,MH Ram Rig/Aker,,"60,5""",MH Gateless,MH,MH,1300/1300,MH,3,NOV 14-P-220,"6,600","21,385",18540/11124,6,1,2,2560,16,MH,"60,5""","21""",75,Dril-Quip,15,"4,5""",5,Hydril,2,Hydril,DrilQuip DX,MUX,Hydril,Sikorsky S-61,-,"WestNavigator-1.jpg, WestNavigator-2.jpg, WestNavigator-3.jpg",semisubmersible,,2/7/2014 0:24:39,6/8/2012 7:37:29
16,Maersk Gallant,Maersk Drilling,Conoco Phillips/Statoil,Aktiv,JU,MSC CJ62S 120,1993,,Lloyd´s,394,"25,000",Active,2016/05,Norway,"8,075",4,100,257,296,19.4,,/4500,,,"2""",,2624,,,,"44,6","44,6",30,,,1650,Continental Emsco,160x40x40,3000,Continental Emsco,"1,75""","49,5""",NOV AR3200,NOV TDS-6S,,,NOV PHM-3,3,Continental Emsco FC-2200,"5,035","4,240",9100/5600,4,,1,480,4,,"49,5""",,,,15,"3,06""",3,Shaffer,1,Shaffer,,TX 448,Koomey,Sikorsky S-61N,74x74,"MaerskGallant-1.jpg, MaerskGallant-2.jpg",jackup,,2/7/2014 0:06:39,1/24/2014 3:56:42
17,Maersk Giant,Maersk Drilling,DONG/Talisman/Det norske/Repsol/Centrica,Aktiv,JU,Hitachi Zosen Giant Class,1986,,DNV,350,"25,000",Active,2014/10,Denmark,"8,253",4,100,277,295,15.7,,/4500,,,"2""",,2624,,,,"24,1",45,"49,5",,,1000,NOV,160x30x30,2000,NOV,"1,5""","49,5""",NOV AR4497,NOV TDS-4S,,,NOV PRS 8i,3,NOV 12-P-160,"2,900","4,335",8100/5400,3,,,880,4,,"49,5""",,,,15,"2,5""",8,Shaffer,2,Shaffer,,T-3000,Koomey,Sikorsky S-61N & S-92,83x83,"MaerskGiant-1.jpg, MaerskGiant-2.jpg, MaerskGiant-3.jpg",jackup,,9/15/2015 0:54:08,1/24/2014 3:57:20
18,Maersk Guardian,Maersk Drilling,Lundin,Aktiv,JU,Hitachi Zosen Giant Class,1986,,Lloyd´s,350,"25,000",Active,2014/07,Denmark,"8,253",4,100,277,295,15.7,,/5000,,,"2""",,2624,,,,"24,1",45,"49,5",,,1000,NOV,160x30x30,2000,NOV,"1,5""","49,5""",NOV AR4498,NOV TDS-4S,,,NOV PRS 8i,3,NOV 12-P-160,"2,800","4,335",8100/5400,4,,,660,4,,"49,5""",,,,15,"2,5""",4,Shaffer,2,Shaffer,,T-3000,Koomey,"Sikorsky S-61N, S-92 & EH101",83x83,"MaerskGuardian-1.jpg, MaerskGuardian-2.jpg, MaerskGuardian-3.jpg",jackup,,9/15/2015 0:54:26,1/24/2014 3:58:16
19,Maersk Innovator,Maersk Drilling,Conoco Phillips,Aktiv,JU,MSC CJ 70-150MC,2003,,DNV,492,"30,000",Active,2017/02,Norway,"14,420",4,120,291,336,26.2,,/7900,,,"2,2""",,3281,,,,45,45,45,,,2000,WQ,210x46x52,4600,Varco,"1,75""","49,5""",NOV AR4500,NOV TDS-8SA,,,NOV PRS 6is,4,3xWirth TPK 2200 & 1xWirth TPK 800,"9,691","10,485",8829/7059,6,,2,1100,8,,"49,5""",,,,15,"3,06""",4,Shaffer,1,Shaffer,,MUX,Shaffer,Sikorsky S-61N,74x74,"MaerskInnovator-1.jpg, MaerskInnovator-2.jpg, MaerskInnovator-3.jpg",jackup,,2/7/2014 0:06:39,1/24/2014 3:59:06
