 , , ,Key information,,,,,Investments,,,Frame agreement,,,,,,Field development,,,,Subsea development,,,,,,,,, Drilling wells,,,Remaining oil and gas reserves,,,,Total reserves estimate,,,,Export technology,,,Destination,,,Helicopter,,,Supply base,Statistics,,,,,,,,, ,, , , , , , , ,Extra,TEMP_Top reservoir depth, , 
Field name,Activity status,Operator,Discovery,On stream,Prod. license,"Location (NS, NOS, BS)",Water depth (m),Total,So far in 2010,Remaining inv.,M&M,M&M contract expires,ISO,ISO contract expires,Drilling and well,Drilling and well contract expires,Production vessel/structure,Production/Drilling/Quarters,Material,Additional info,Subsea company,Subsea template,Total trees,FMC,AKS,GE,CAM,Subsea tieback,Tieback distance (km),Exploration,Development,Top reservoir depth,Oil (Sm3),Oil barrels (bbl),At current oil price,Gas (Sm3),Oil (Sm3),Gas (Sm3),Condensate (Sm3),NGL (mt),Oil,Gas,Condensate,Oil,Gas,Condensate,Flight service,Flight base,Offshore based,Supply base,Top water depth,Top investments,Top remaining investments,Top oil discovery,Top gas discovery,Top remaining oil reserves,Top remaining gas reserves,Top remaining condensate reserves,Top remaining NGL reserves,Field information,Captionimage,Imagebase,Source,NPDID owner,NPDID field,NPDID wellbore,NPDID company,Lastupdated,Investment details,From,Last Edited,Created On
BØYLA,PDO APPROVED,Marathon Oil Norge,2009,2014,340,NS (M),120,"4,939,200,000","85,680,000","4,853,520,000",,,,,,,Subsea template,P,,,Aker Solutions,1,4,,4,,,Alvheim FPSO,28,3,,2100,"3,400,000","21,386,000","2,459,390,000","300,000,000","3,400,000","300,000,000",0,0,,,,Alvheim (export),Alvheim (export),,,,,,73,74,37,82,106,59,77,24,79,Bøyla (tidligere Marihøne) ble påvist i 2009. Funnet ligger omtrent 28 km sør for Alvheimfeltet. Feltet ble opphavelig påvist i 1987 og ble satt i produksjon i mai 1995 med Elf Petroleum Norge AS som operatør. Produksjonen ble avslutta i mars 2001.  Funnet er planlagt utbygget med en havbunninnretning knyttet til Alvheim. Bøyla ble PUD-godkjent i Oktober 2012 og antatt levetid for feltet er cirka 15 år. <br><br><strong>Tidstabell for feltet:</strong><br>2011 Q1: Marihøne-funnet skifter navn til Bøyla <br>2012 Q2: Innlevering av PUD <br>2012 Q4: PUD godkjent<br>2014 Q4: Planlagt produksjonsstart,Subsea template,boyla-1.jpg,http://www.akersolutions.com/en/Global-menu/Products-and-Services/technology-segment/Subsea-technologies-and-services/Subsea-production-systems-and-technologies/Subsea-trees/,2986630,22492497,6222,20485291,,,,8/30/2013 5:17:26,6/8/2012 18:47:57
EDVARD GRIEG,PDO APPROVED,Lundin Norway,2007,2015,338,NS (M),110,"21,700,000,000",0,"21,700,000,000",,,,,,,Fixed platform,PDQ,Steel,,Aker Solutions / FMC,,0,,,,,Ivar Aasen,8,6,,"1,940","26,200,000","164,798,000","18,951,770,000","1,800,000,000","26,200,000","1,800,000,000",0,"600,000",Pipeline,Pipeline,,Sture,SAGE,,,,,,90,36,13,34,84,10,52,24,53,"Edvard Grieg(16/1-8), tidligere Luno, ligger omtrent 35 km sør for Grane og Balder. To avgrensingsbrønner, 16/1-10 og 16/1-13, er boret på funnet i 2009 og 2010. Rettighetshaverne planlegger å bygge ut Edvard Grieg som en bunnfast plattform, en såkalt P(d)Q med stålunderstell som betyr en plattform med prosess anlegg (P), tørre brønnhoder med ekstern jack-up drilling (d) samt boligkvarter (Q). Det er lagt til rette for landstrøm til Edvard Grieg. Utbyggingen av Edvard Grieg vil samordnes med utbyggingen av Ivar Aasen. Tidlgst produksjonsstart er ventet 2015. <br><br><strong>Tidstabell for feltet:</strong><br>2012 Q1: Innlevering av PUD <br>2012 Q2: Luno skifter navn til Edvard Grieg<br>2012 Q2: PUD godkjent<br>2015 Q4: Planlagt produksjonsstart",Fixed platform,edvard-grieg-1.jpg,,2986578,21675433,5612,2767314,,,"1,900",2/21/2014 9:17:10,6/8/2012 18:47:57
GINA KROG,PDO APPROVED,Statoil,1974,2017,"029, 029B, 048, 303",NS (M),116,"31,248,000,000",0,"31,248,000,000",,,,,,,Fixed platform,,Steel,,Aker Solutions / FMC,,0,,,,,Sleipner Ø,30,9,,"3,700","16,800,000","105,672,000","12,152,280,000","12,500,000,000","16,800,000","12,500,000,000","3,300,000","1,600,000",Oil tanker,Pipeline,,,,,,,,,85,25,7,43,39,20,22,8,33,"Gina Krog, tidligere Dagny(15/5-1), ligger omtrent 30 km nordvest for Sleipner A-innretningen. Den planlagte utbyggingsløsningen er en brønnhodeinnretning. Oljen er planlagt lastet på lagerskip. Våtgassen er planlagt transportert i rørlendning til Sleipner A for videre prosessering. <br><br><strong>Tidstabell for feltet:</strong><br>2012 Q3: Innlevering av PUD <br>2013 Q1: PUD godkjent<br>2017 Q1: Planlagt produksjonsstart",Fixed platform,dagny-pud_inn.gif,,21172,23384544,315,17237817,,,,8/30/2013 5:51:37,6/8/2012 18:47:57
GOLIAT,PDO APPROVED,Eni Norge,2000,2014,229,BS,420,"36,993,600,000","10,324,319,000","26,669,281,000",Apply Sørco,2014,Norisol,2015,,,FPSO,P,Steel,,,8,0,,,,,,,6,4,"1,800","30,200,000","189,958,000","21,845,170,000","7,300,000,000","30,200,000","7,300,000,000",0,"300,000",Oil tanker,Oil tanker,,,,,,,,Polarbase AS,4,18,8,30,53,9,33,24,62,"Goliatfeltet er lokalisert i blokk 7122/7, 8, 9, 10 og 7123/7, omtrent 50 km sørøst for Snøhvit. Feltet ble oppdaget i 2000 da den første letebrønnen ble boret. FPSO-en er basert på det norske Sevan 1000-konseptet og vil være fullt ut vinterisert og bygget for å tåle forholdene i Barenshavet. <br><br><strong>Tidstabell for feltet:</strong><br>2009 Q1: Innlevering av PUD <br>2009 Q2: PUD godkjent<br>2014 Q3: Planlagt produksjonsstart",FPSO2,"Goliat-2.jpg, Goliat-1.jpg, Goliat-3.jpg, Goliat-4.jpg, Goliat-5.jpg",http://www.eninorge.com/no/Feltutbygging/Goliat/Framdrift-2/,22644,5774394,4173,2388594,,,"1,100",8/30/2013 6:09:55,6/8/2012 18:47:57
GUDRUN,PDO APPROVED,Statoil,1975,2014,25,NS (M),110,"19,252,800,000","5,916,792,000","13,336,008,000",Fabricom,2018,,,,,Fixed platform,P,Steel,,Aker Solutions / FMC,,0,,,,,Sleipner A,55,4,7,"4,760","11,700,000","73,593,000","8,463,195,000","6,400,000,000","11,700,000","6,400,000,000",0,"1,300,000",Pipeline (Sleiper A),Pipeline (Sleiper A),,,,,,,,,90,43,17,54,60,33,36,24,38,"Gudrunfeltet(15/3) ligger omtrent 55 km nord for Sleipnerfeltet og 11 km nordvest for Sigrun. Gudrun bygges ut med en plattform stående på havbunnen, med tradisjonelt stålunderstell (jacket). Plattformen får prosessanlegg for delvis behandling av olje og gass, før hydrokarbonene sendes i rør til Sleipner-feltet. <br><br><strong>Tidstabell for feltet:</strong><br>2010 Q1: Innlevering av PUD <br>2010 Q2: PUD godkjent<br>2014 Q1: Planlagt produksjonsstart",Fixed platform,"Gudrun-1.jpg, Gudrun-2.jpg, Gudrun-3.jpg",,34512,18116481,309,17237817,,,"4,000",7/4/2013 20:23:39,6/8/2012 18:47:57
IVAR AASEN,PDO APPROVED,Det Norske Oljeselskap,2008,2016,001B,NS (M),112,"24,700,000,000",0,"24,700,000,000",,,,,,,Fixed platform,P,Steel,,,,0,,,,,Edvard Grieg,10,6,,"2,400","18,300,000","115,107,000","13,237,305,000","4,700,000,000","18,300,000","4,700,000,000",,"1,100,000",,,,,,,,,,,89,34,11,41,63,15,40,NA,42,"Ivar Aasen(16/1-9), tidligere Draupne, ligger omtrent 30 km sør for Grane og Balder. Ivar Aasen-utbyggingen omfatter utvinning av ressursene i tre funn, Ivar Aasen (PL 001B) Hanz (PL 028B), og West Cable (PL  001B OG pl 242), i blokkene 16/1 og 25/10. Feltene bygges ut med en bemannet produksjonsplattform plassert over Ivar Aasen-reservoaret og et undervannsanlegg på Hanz knyttet opp mot Ivar Aasen-plattformen via strømningsrør og kontrollkabel. Den faste produksjonsinnretningen skal knyttes til Edvard Grieg-innretningen. <br><br><strong>Tidstabell for feltet:</strong><br>2012 Q3: Draupne får navnet Ivar Aasen<br>2012 Q4: Innlevering av PUD <br>2013 Q1: PUD godkjent<br>2016 Q4: Planlagt produksjonsstart",Fixed platform,draupne.jpg,,917266,23384520,5773,17342870,,,,8/30/2013 6:25:08,6/8/2012 18:47:57
KNARR,PDO APPROVED,BG Norge,2008,2014,373 S,NS (N),410,"11,200,000,000","538,272,000","10,661,728,000",,,,,,,FPSO,P,Steel,,FMC,2,6,6,,,,,,2,3,"3,800","11,900,000","74,851,000","8,607,865,000","300,000,000","11,900,000","300,000,000",0,"800,000",Oil tanker,Pipeline (FLAGS),,,St. Fergus,,,,,Florø,5,52,18,52,106,32,77,24,50,Knarr består av funnet Knarr sentral(tidligere jordbær) og prospektet Knarr vest. Feltet skal bygges ut med havbunnsinnretninger knyttet opp mot et produksjonsskip med lager. Planlagt produksjonsstart er 2014. <br><br><strong>Tidstabell for feltet:</strong><br>2011 Q1: Innlevering av PUD <br>2011 Q2: PUD godkjent<br>2014 Q2: Planlagt produksjonsstart,FPSO,Knarr-1.jpg,http://www.regjeringen.no/mobil/nn/dep/oed/dok/regpubl/prop/2010-2011/prop-99-s-20102011/1.html?id=640846,3811116,20460988,5811,2747354,,,,8/30/2013 6:35:46,6/8/2012 18:47:57
MARTIN LINGE,PDO APPROVED,Total E&P Norge,1978,2016,"040, 043",NS (N),120,"26,208,000,000","421,070,000","25,786,930,000",,,,,,,Fixed platform,P,Steel,,Aker Solutions,,1,,1,,,,,7,2,"4,400","6,000,000","37,740,000","4,340,100,000","19,700,000,000","6,000,000","19,700,000,000","3,000,000","700,000",Oil tanker,Pipeline (FUKA),,,,,,,,,73,31,9,72,30,45,19,9,51,"Martin Linge(tidligere Hild) ligger nær delelinjen til britisk sektor, omtrent 42 km vest for Oseberg. Reservoarene er strukturelt komplekse og inneholder gass ved høy temperatur og høyt trykk. Olje- og gassreservoarene skal bygges ut med en fast produksjonsinnretning. Brønnene blir boret med en flyttbar oppjekkbar innretning. Utbyggingsløsningen som operatøren har valgt baserer seg på kraft fra land fra Kollsnes. <br><br><strong>Tidstabell for feltet:</strong><br>2012 Q1: Innlevering av PUD <br>2012 Q1: PUD godkjent<br>2012 Q1: Hild skifter navn til Martin Linge<br>2016 Q4: Planlagt produksjonsstart",Fixed platform,,,3812119,21675447,507,2410708,,,"3,700",8/30/2013 6:47:44,6/8/2012 18:47:57
SVALIN,PDO APPROVED,Statoil,1992,2014,169,NS (M),120,"4,500,000,000",0,"4,500,000,000",,,,,,,Subsea template,,Steel,,Aker Solutions,,0,,,,,Grane,6,2,,"1,750","12,100,000","76,109,000","8,752,535,000",0,"12,100,000",0,0,0,Pipeline,,,Sture,,,,,,,73,79,39,51,114,31,94,24,79,"Svalin ligger omtrent 6 km sør for Grane, innenfor Grane/Balder-området i Nordsjøen. C-strukturen ble oppdaget av Norsk Hydro i 1992 og M-strukturen av StatoilHydro i 2008. Funnet skal bygges ut med en havbunninnretning knyttet til Grane. Svalin vil få elektrisk kraft fra Grane og vil inngå som en integrert del av driften av det eksisterende Grane-feltet. Produksjonsstart er ventet sent i 2013 eller i 2014. <br><br><strong>Tidstabell for feltet:</strong><br>2012 Q2: Innlevering av PUD <br>2012 Q4: PUD godkjent<br>2013 Q4: Planlagt produksjonsstart fase 1<br>2014 Q2: Planlagt produksjonsstart fase 2",Subsea template,,,22164,22507971,1920,17237817,,,,9/6/2013 9:33:52,6/8/2012 18:47:57
VALEMON,PDO APPROVED,Statoil,1985,2014,VALEMON UNIT,NS (N),135,"20,563,200,000","1,496,892,000","19,066,308,000",,,,,,,Fixed platform,P,Steel,1 x steel facility,,,0,,,,,Gullfaks A and C,,5,14,"4,000","4,900,000","30,821,000","3,544,415,000","26,100,000,000","4,900,000","26,100,000,000",0,"1,300,000",Pipeline,Pipeline,Pipeline,Mongstad,GB,Mongstad,,,,,64,40,15,75,26,51,15,24,38,"Valemon ligger i den nordlige delen av Nordsjøen, mellom feltene Kvitebjørn og Gullfaks Sør. Valemon skal bygges ut med en bunnfast plattform med stålunderstell for separasjon av gass, kondensat og vann. Plattformen vil normalt være ubemannet, og skal fjernstyres fra Kvitebjørn-plattformen når boreoperasjonene er ferdige i 2016/17. <br><br><strong>Tidstabell for feltet:</strong><br>2010 Q4: Innlevering av PUD <br>2011 Q2: PUD godkjent<br>2014 Q4: Planlagt produksjonsstart",Fixed platform,Valemon-1.jpg,,18403644,20460969,476,17237817,,,,6/26/2013 15:17:20,6/8/2012 18:47:57
YME,SHUT DOWN,Talisman North Sea,1987,2011,316,NS (S),93,"13,960,800,000","12,870,245,000","1,090,555,000",Aker Solutions,2014,,,,,Jackup,PDQ,Steel,,FMC/VetcoGray,1,8,4,,4,,,,7,30,"3,150","14,100,000","88,689,000","10,199,235,000",0,"22,000,000",0,0,0,Oil tanker,*Injisert tilbake,,,*Injisert tilbake,,HSL/BSH,Sola,,,107,49,60,38,114,28,94,24,79,"Strukturen Yme(9/2) består av hovedfeltet Gamma Vest og segmentene Gamma Sør Øst, Gamma Nord Øst og Beta Øst. Yme Gamma Vest består av en modiﬁsert oppjekkbar plattform(Mærsk Giant), et modiﬁsert lagertankskip(Polysaga), et forankringssystem og en ﬂeksibel rørledning mellom plattformen og lagertankskipet. Yme-plattformen ble evakuert i 2012 grunnet sprekker ble oppdaget i plattformens bein. Talisman Energy sier Yme-plattformen vil forbli forlatt i den norske delen av Nordsjøen i enda et år etter den planlagte fjerningen og skyve fjerningen til 2015. Partnerskapet har rykket tilbake til start og vurderer mulighetene for en ny utbyggingsplan for feltet.  <br><br><strong>Tidstabell for feltet:</strong><br>2007 Q1: Innlevering av PUD <br>2007 Q2: PUD godkjent<br>2013 Q1: Initiell planlagt produksjonsstart - UTSATT <br> 2015 Planlagt fjerning av plattform",Jackup,"Yme-1.jpg, Yme-2.jpg, Yme-3.jpg, Yme-4.jpg",,2786469,43807,1038,2425093,,,,2/21/2014 10:20:33,6/8/2012 18:47:57
ALVE,PRODUCING,Statoil,1990,2009,159 B,NOS,370,"4,132,800,000","4,097,666,000","35,134,000",,,,,,,Subsea template,,Steel,,FMC,1,1,1,,,,Norne FPSO,15.5,3,3,"3,600","800,000","5,032,000","578,680,000","2,700,000,000","1,900,000","5,700,000,000",0,"1,100,000",Pipeline/ Oil tanker,Pipeline,,,Norne pipeline - Åsgard pipeline - Kårstø,,,,,,14,84,100,94,61,83,48,24,42,"Alve er et gass­ og kondensatfelt som ligger i Norskehavet, rundt 16 km sørvest for Norne. Havdypet i området er 370 meter. Utbyggingsløsningen er en standard havbunnsramme med fire brønnslisser og en produksjonsbrønn.",Subsea template,Alve-1.jpg,,2819945,4444332,1533,17237817,30.03.2012,,,5/30/2013 12:15:28,6/8/2012 18:47:57
ALVHEIM,PRODUCING,Marathon Oil Norge,1998,2008,203,NS (M),130,"20,764,800,000","19,398,123,000","1,366,677,000",Apply Sørco,,,,,,FPSO,P,Steel,,Aker Solutions,1,18,,18,,,,,5,44,"2,200","17,500,000","110,075,000","12,658,625,000","4,700,000,000","37,200,000","6,800,000,000",0,0,Oil tanker,Pipeline,,,*SAGE,,BSH,Sola,,,65,39,57,24,57,16,40,24,79,"Alvheim er et olje­ og gassfelt som ligger i den midtre delen av Nordsjøen vest for Heimdal ved grensen til britisk sektor. Feltet omfattar de tre funnene 24/6­-2 (Kamelon), 24/6­-4 (Boa) og 25/4­-7 (Kneler). Feltet er bygget ut med et produksjonsskip, «Alvheim FPSO», og havbunnbrønner. Oljen blir stabilisert og lagret på produksjonsskipet. Feltene Vilje og Volund er knyttet opp til produksjons­skipet.",FPSO,"Alvheim-1.jpg, Alvheim-2.jpg, Alvheim-3.jpg",,22436,2845712,3397,20485291,20.02.2012,,,5/21/2013 15:16:03,6/8/2012 18:47:57
ÅSGARD,PRODUCING,Statoil,1981,1999,ÅSGARD UNIT,NOS,310,"103,521,600,000","80,327,178,000","23,194,422,000",Aker Solutions,2014,Kaefer Energy,,,,FPSO,P,Steel,Semi-submersible (PQ) and FSO ,FMC,17,62,62,,,,,,21,81,"4,850","18,600,000","116,994,000","13,454,310,000","84,100,000,000","100,400,000","207,700,000,000","17,100,000","39,400,000",Oil tanker,Pipeline,Oil tanker,,Kårstø,Sold to Halten Blend,HSL,Kvernberget,,Vestbase AS(Kristiansund),33,8,12,13,3,14,4,4,1,"Åsgard ligger sentralt i Norskehavet. Åsgard omfatter funnene 6506/12­-1 (Smørbukk), 6506/12-­3 (Smør­bukk Sør) og 6507/11-1 (Midgard). Feltet er bygget ut med havbunnkomplet­terte brønner som er knyttet til et produksjons-­ og lagerskip, «Åsgard A», som produserer og lagrer olje, og en flytende, halvt nedsenkbar inn­retning, Åsgard B, som behandler gass og kondensat. Til gassenteret er det knyttet et lagerskip for kondensat, «Åsgard C». Åsgardfeltet er bygget ut i to faser. Væskefasen kom i produksjon i 1999 og gasseksportfasen startet i 2000. Innretningene på feltet utgjør en viktig del av infrastruk­turen i Norskehavet. Gassen fra feltene Mikkel og Yttergryta blir proses­sert på Åsgard, og injeksjonsgass blir levert til Tyrihansfeltet. Morvin­feltet er knyttet til Åsgard B, og produksjonen startet i august 2010.",FPSO,"AasgardA-1.jpg, AasgardB-2.jpg, AasgardC-3.jpg",,40564,43765,68,17237817,,,,4/19/2013 10:38:02,6/8/2012 18:47:57
ATLA,PRODUCING,Total E&P Norge,2010,2012,102 C,NS (M),119,"1,411,200,000","326,592,000","1,084,608,000",,,,,,,Subsea template,,Steel,,,1,0,,,,,Heimdal platform,7,1,1,"2,700","300,000","1,887,000","217,005,000","1,300,000,000","300,000","1,400,000,000",0,0,,,,,,,,,,,83,109,61,109,89,95,57,24,79,"Atla ligger i den sentrale Nordsjø, øst for Heimdal-feltet. Det planlegges å bygge ut Atla med en havbunnsramme. Brønnen skal knyttes opp mot Heimdal-plattformen via den eksisterende rørledningen mellom gass- og kondensatfeltet Skirne Byggve og Heimdal. Produksjonsstart var Oktober 2012",Subsea template,Atla-1.jpg,http://www.offshore.no/sak/33021_total_med_ekspress-pud,5467035,21106284,6423,2410708,20.02.2012,,,4/19/2013 9:40:46,6/8/2012 18:47:57
BALDER,PRODUCING,ExxonMobil,1967,1999,1,NS (M),125,"33,465,600,000","28,510,972,000","4,954,628,000",,,,,,,FPSO,PQ,Steel,,GE Oil & Gas ,1,16,,,16,,,,31,75,"1,700","16,200,000","101,898,000","11,718,270,000","600,000,000","72,100,000","2,000,000,000",0,0,Balder FPSO,Jotun FPSO,,,Kårstø/Emden,,HSL,Sola,,Dusavik,71,21,36,16,78,23,70,24,79,"Balder er bygget ut med havbunnkompletterte brønner som er knyttet til bosted­, produksjons­ og lagerskipet «Balder FPSO», der oljen og gassen blir prosessert. Ringhorneforekomsten, som inngår i Balderfeltet, er bygget ut med en kombinert bosted­, bore­ og brønnhovedinnretning som er knyttet til «Balder FPSO».",FPSO,"Balder-1.jpg, Balder-2.jpg, Balder-3.jpg",http://www.exxonmobil.com/Norway-English/PA/Files/AarsBrosjyre2011_en.pdf,20756,43562,143,2835212,20.02.2012,,,10/17/2013 8:00:21,6/8/2012 18:47:57
BLANE,PRODUCING,Talisman North Sea,1989,2007,BLANE UNIT,NS (S),70,"604,800,000","599,120,000","5,680,000",Aker Solutions,2014,Sørco,,,,Subsea template,,Steel,,,1,0,,,,,Ula,34,1,,"3,100","300,000","1,887,000","217,005,000",0,"800,000",0,0,0,Pipeline,Pipeline,,Teesside,Ula,,,,,,123,115,104,101,114,95,94,24,79,Blane ligger sørvest for Ulafeltet i den sørlege delen av Nordsjøen og på grensen til britisk sektor. Feltet er bygget ut med et havbunnanlegg knyttet til Ula. Innretningene på havbunnen er plassert på den britiske kontinental­sokkelen.,Subsea template,"Blane-1.jpg, Blane-2.jpg, Blane-3.jpg",,3437667,3437650,1382,2425093,20.02.2012,,,4/19/2013 9:44:06,6/8/2012 18:47:57
BRAGE,PRODUCING,Wintershall,1980,1993,BRAGE UNIT,NS (N),140,"24,091,200,000","22,630,866,000","1,460,334,000",Apply Sørco AS,2014,BIS Industrier,,Odfjell Drilling,2016,Fixed platform,PDQ,Steel,,,,0,,,,,,,8,89,"2,300","4,000,000","25,160,000","2,893,400,000","1,200,000,000","59,300,000","4,500,000,000",0,"1,500,000",Pipeline - Oseberg - OTS,Pipeline,,Stureterminalen,Kårstø/Emden,,BSH,Flesland,,Mongstad,62,35,56,20,65,55,61,24,36,"Brage er et oljefelt som ligger øst for Oseberg i den nord­lege delen av Nordsjøen. Brage er bygget ut med en bunnfast integrert produksjons­, bore­ og bostedinnretning med stål­understell.",Fixed platform,"Brage-1.jpg, Brage-2.jpg, Brage-3.jpg, Brage-4.jpg",,40432,43651,402,17237817,20.02.2012,,"2,000",11/28/2012 7:42:47,6/8/2012 18:47:57
DRAUGEN,PRODUCING,Norske Shell,1984,1993,93,NOS,250,"36,489,600,000","31,514,217,000","4,975,383,000",Aibel,2018,Linjebygg Offshore,,,,Fixed platform,P,Concrete,,Aker Solutions,2,17,9,4,4,,,,9,25,"1,600","14,900,000","93,721,000","10,777,915,000","100,000,000","146,700,000","1,600,000,000",0,"2,800,000",Oil tanker,Pipeline,,,Kårstø,,HSL,Kvernberget,,Vestbase AS(Kristiansund),47,19,35,10,86,27,84,24,23,"Draugen er bygget ut med en bunnfast betonginnretning med integrert dekk. Stabilisert olje blir lagret i tanker i bunnen av inn­retningen. To rørledninger går fra innretningen til en flytende lastebøye. Garn Vest­forekomsten og Rogn Sør­forekomsten er bygget ut med i alt syv havbunnbrønner knyttet til hovedinnretningen på Draugen. Feltet har også seks havbunnkompletterte vanninjeksjonsbrønner, to av de er i bruk.",Fixed platform,"Draugen-1.jpg, Draugen-2.jpg, Draugen-3.jpg",,21548,43758,133,562,20.02.2012,,,4/19/2013 9:49:51,6/8/2012 18:47:57
EKOFISK,PRODUCING,ConocoPhillips,1969,1971,18,NS (S),75,"190,915,200,000","155,430,119,000","35,485,081,000",Aibel + Aker Solutions,2016/2015,Beerenberg,2015,Archer,2015,Fixed platform,,,,,,8,8,,,,,,7,333,"3,250","129,800,000","816,442,000","93,890,830,000","22,800,000,000","569,200,000","164,500,000,000",0,"15,200,000",Pipeline,Pipeline,,Teesside,Emden,,BSH,Sola,HSL,Tananger,117,2,4,2,5,2,17,24,4,"Ekofiskfeltet ble produsert til tankskip frem til 1973, da en betongtank kom på plass. Siden har det kommet til mange innretninger på feltet, inkludert stigerørinnretninger for tilknyttet felt og eksportrørledninger. Flere av dei eldste innretningane er tatt ut av drift og venter på disponering. De operative delene av Ekofisksenteret er i dag bostedinnretningene Ekofisk H og Ekofisk Q, produksjons­innretningen Ekofisk C, bore­ og produksjonsinnretningen Ekofisk X, prosess innretningen Ekofisk J og produksjons­ og prosessinnretningen Ekofisk M. Fra brønnhovedinnretningen Ekofisk A sør på feltet går produksjonen i rør til stigerørinnretningen Ekofisk FTP på Ekofisk­senteret for prosessering. Rørledningen frå Ekofisk B nord på feltet går til Ekofisk M. Ekofisk K er en innretning for vanninjeksjon. Permanente kabler for innsamling av seismiske data er lagt på havbunnen over Ekofiskreservoaret.",Fixed platform,"Ekofisk-2.jpg, Ekofisk-1.jpg, Ekofisk-3.jpg",,20900,43506,172,2410696,20.02.2012,,"2,900",4/19/2013 9:49:50,6/8/2012 18:47:57
ELDFISK,PRODUCING,ConocoPhillips,1970,1979,18,NS (S),75,"97,876,800,000","60,432,863,000","37,443,937,000",Aibel + Aker Solutions,2016/2015,Beerenberg,2015,Archer,2015,Fixed platform,PDQ,Steel,"Eldfisk A, B, E, FTP",,,0,,,,,,,5,136,"2,900","37,300,000","234,617,000","26,980,955,000","5,400,000,000","137,900,000","44,800,000,000",0,"4,100,000",Pipeline (Ekofisk),Pipeline (Ekofisk),,Teesside,Emden,,BSH,Sola,,Tananger,117,10,3,11,17,6,38,24,19,"Eldfisk er et oljefelt som ligger rett sør for Ekofisk. Feltet blei først bygget ut med tre innretninger. Eldfisk B er en kombinert bore­, brønnhode­ og prosessinnretning, imens Eldfisk A og Eldfisk FTP er brønnhode­ og prosessinnretninger knyttet sammen med bro. Eldfisk A har også bore­fasiliteter. I 1999 kom Eldfisk E, en innretning for vanninjeksjon, på plass. Innretningen leverer også en del injeksjonsvann til Ekofiskfeltet gjennom en rørleidning fra Eldfisk til Ekofisk K. Emblafeltet, som ligger rett sør for Eldfisk, er knyttet til Eldfisk FTP.",Fixed platform,"Eldfisk-1.jpg, Eldfisk-2.jpg, Eldfisk-3.jpg",,20900,43527,179,2410696,20.02.2012,,"2,700",6/8/2012 18:48:03,6/8/2012 18:47:57
EMBLA,PRODUCING,ConocoPhillips,1988,1993,18,NS (S),75,"4,435,200,000","4,301,565,000","133,635,000",Aibel + Aker Solutions,2016/2015,,,Archer,2015,Fixed platform,D,Steel,Well head,,,0,,,,,Eldfisk FTP,5.2,9,7,"4,000","1,500,000","9,435,000","1,085,025,000","3,600,000,000","11,900,000","7,500,000,000",0,"700,000",Pipeline (Eldfisk),Pipeline (Eldfisk),,Teesside,Emden,,,,,Tananger,117,81,84,52,52,74,44,24,51,Embla er et oljefelt som ligger tett ved Eldfisk i den sørlege delen av Nordsjøen og feltet er bygget ut med en brønnhodeinnretning som er fjernstyrt fra Eldfisk,Fixed platform,"Embla-1.jpg, Embla-2.jpg, Embla-3.jpg",,20900,43534,1062,2410696,20.02.2012,,,6/8/2012 18:48:03,6/8/2012 18:47:57
ENOCH,PRODUCING,Talisman North Sea,1991,2007,ENOCH UNIT,NS (M),120,"817,488,000","232,284,000","585,204,000",Aker Solutions,2014,Sørco,,,,Subsea template,,Steel,,Aker Solutions,1,3,,3,,,Brae (UK),38,1,,"2,100","100,000","629,000","72,335,000",0,"400,000",0,0,0,Pipeline,Pipeline (Brae),,Cruden Bay,Sold to Brae (UK),,,,,,73,112,67,106,114,97,94,24,79,"Enoch ligger på grensen til britisk sektor, like nordvest for Sleipner. Feltet er bygget ut med et havbunnanlegg på britisk kontinentalsokkel, og er knyttet til det britiske feltet Brae.",Subsea template,"Enoch-1.jpg, Enoch-2.jpg",,3437805,3437659,0,4462398,20.02.2012,,,4/19/2013 9:51:34,6/8/2012 18:47:57
FRAM,PRODUCING,Statoil,1992,2003,90,NS (N),350,"11,592,000,000","11,165,374,000","426,626,000",,,,,,,Subsea template,,Steel,,FMC/Aker Solutions,2,13,6,7,,,Troll C,20,8,22,"2,500","5,900,000","37,111,000","4,267,765,000","6,300,000,000","30,700,000","8,800,000,000",0,"600,000",Pipeline (Troll C) - Troll Oljerør II,Pipeline (Troll A),,Mongstad,Kollsnes,,,,,Mongstad,24,51,69,29,47,48,37,24,53,"Fram er et oljefelt som ligger 20 km nord for Troll. Feltet har to forekomster; Fram Vest og Fram Øst. Utbyggingen av Fram Vest­forekomsten omfatter to havbunnrammer som er knyttet til Troll C. På Troll C blir gassen skilt fra væsken og injisert tilbake i Fram Vest­reservoaret. Utbyggingen omfatter to havbunnrammer som er knyttet til Troll C. Produksjonen fra Fram Øst startet oktober 2006. I 2007 ble det boret en brønn på Fram H-Nord prospektet, og vetdtak om utbygging ble gjort i juni 2012. Fram H-Nord er tredje fase i utviklingen av Fram-feltet. Fram H-Nord knyttes opp til Troll C.",Subsea template,"Fram-1.jpg, Fram-2.jpg",,21524,1578840,1883,17237817,,,"2,300",5/21/2013 10:09:48,6/8/2012 18:47:57
