 , , ,Key information,,,,,Investments,,,Frame agreement,,,,,,Field development,,,,Subsea development,,,,,,,,, Drilling wells,,,Remaining oil and gas reserves,,,,Total reserves estimate,,,,Export technology,,,Destination,,,Helicopter,,,Supply base,Statistics,,,,,,,,, ,, , , , , , , ,Extra,TEMP_Top reservoir depth, , 
Field name,Activity status,Operator,Discovery,On stream,Prod. license,"Location (NS, NOS, BS)",Water depth (m),Total,So far in 2010,Remaining inv.,M&M,M&M contract expires,ISO,ISO contract expires,Drilling and well,Drilling and well contract expires,Production vessel/structure,Production/Drilling/Quarters,Material,Additional info,Subsea company,Subsea template,Total trees,FMC,AKS,GE,CAM,Subsea tieback,Tieback distance (km),Exploration,Development,Top reservoir depth,Oil (Sm3),Oil barrels (bbl),At current oil price,Gas (Sm3),Oil (Sm3),Gas (Sm3),Condensate (Sm3),NGL (mt),Oil,Gas,Condensate,Oil,Gas,Condensate,Flight service,Flight base,Offshore based,Supply base,Top water depth,Top investments,Top remaining investments,Top oil discovery,Top gas discovery,Top remaining oil reserves,Top remaining gas reserves,Top remaining condensate reserves,Top remaining NGL reserves,Field information,Captionimage,Imagebase,Source,NPDID owner,NPDID field,NPDID wellbore,NPDID company,Lastupdated,Investment details,From,Last Edited,Created On
FLYNDRE,FUTURE PROJECTS,Maersk Oil Norway,1974,2013,"018 C, 297",NS (S),70,,,,,,,,,,Subsea template,,Steel,,,,0,,,,,Clyde,,,,,"400,000","2,516,000","289,340,000","100,000,000","400,000","100,000,000",,,,,,,,,,,,,123,NA,NA,106,109,92,84,NA,NA,"Flyndre(1/5-2) ligger på begge sider av grenselinjen mellom Norsk og Britisk sektor, 30 km vest for Ekofisk. Det er boret fire brønner på funnet, en på norsk side og tre på britisk side.  En PUD skal etter planen leveres til britiske og norske myndigheter i 2013. Den planlagte utbyggingsløsningen er en havbunnsramme på britisk side, knyttet opp til Clyde-innretningen på britisk sokkel. Produksjonsstart er ventet i September 2013.",Subsea template,,,,,,,,,,6/28/2013 14:05:42,6/8/2012 18:47:57
FOGELBERG,FUTURE PROJECTS,Centrica,2010,2020,433,NOS,280,,,,,,,,,,Subsea template,,,,,,,,,,,,,,,"4,380","1,700,000","10,693,000","1,229,695,000","9,700,000,000","1,700,000","9,700,000,000",,,,,,,,,,,,,43,NA,NA,96,44,72,25,NA,NA,"Fogelberg (6506/9-2) ble påvist i 2010 og ligger på Haltenbanken, omtrent 10 km nord for Smørbukk-forekomsten. Funnet skal bygges ut med havbunnrammer knyttet til eksisterende infrastruktur i området. Det er ventet at operatøren vil levere PUD i 2016, med oppstart av produksjon i 2020.",,,,,,,,,,,6/27/2013 9:37:01,5/21/2013 15:47:36
GROSBEAK,FUTURE PROJECTS,Wintershall,2009,,378,NS (N),351,,,,,,,,,,To be announced,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,23,NA,NA,NA,NA,NA,NA,NA,NA,Grosbeakprospektet ligger 25 km nord for Trollfeltet i Nordsjøen. Grosbeak var et av de største funnene på norsk sokkel i 2009. Utviklingen av Grosbeak-funnet er under planlegging. Utbyggingsløsninger som vurderes er stand-alone og subsea-tieback for Grosbeak.,To be announced,,,,,,,,,,5/21/2013 10:28:00,6/8/2012 18:47:57
HANZ,FUTURE PROJECTS,Det Norske Oljeselskap,1997,2014,028B,NS (M),115,,,,,,,,,,To be announced,,,,,,0,,,,,Ivar Aasen,14,,,,,0,0,,,,,,,,,,,,,,,,86,NA,NA,NA,NA,NA,NA,NA,NA,"Hanz ligger nord for Ivar Aasen. Det Norske har som mål å få til en samlet utbygging av feltene Ivar Aasen, Hanz og West Cable. Planlagt produksjonsstart er 2014.",To be announced,,,,,,,,,,4/17/2013 12:55:29,6/8/2012 18:47:57
HASSELMUS,FUTURE PROJECTS,Norske Shell,1999,2013,"093, 158",NOS,250,,,,,,,,,,To be announced,,,,,,0,,,,,Draugen,7,,,,,0,0,,,,,,,,,,,,,,,,47,NA,NA,NA,NA,NA,NA,NA,NA,"Hasselmus(6407/9-9) ligger omtrent 7 km nordvest for Draugenfeltet. Utbyggingsplanen innebærer produksjon fra enn brønn knyttet til Draugeninnretningen. Hovedmålet med utbygging av Hasselmus er å produsere gass til kraftgenerering på Draugenfeltet, og ingen ressursestimat er derfor oppgitt. Funnet kan komme i produksjon i 2013.",To be announced,,,,,,,,,,4/17/2013 12:55:31,6/8/2012 18:47:57
JOHAN CASTBERG,FUTURE PROJECTS,Statoil,2011,2018,532,BS,370,"100,000,000,000",,,,,,,,,FPSO,P,Steel,,,,0,,,,,,,,,,,0,0,,,,,,Pipeline,,,Veidnes,,,,,,,14,9,NA,NA,NA,NA,NA,NA,NA,Johan Castberg(tidligere Skrugard og Havis) ligger omtrent 100 km nordvest for Snøhvitfeltet. Statoil og partnerne vurderer å bygge ut funnene med en flytende produksjonsenhet(FPSO). Johan Castberg består av de tidligere feltene Skrugard(funnet i 2011) og Havis(funnet i 2012). Johan Castberg kan få eget feltsenter. <br><br><strong>Tidstabell for feltet:</strong><br>2013: Utbyggingkonsept valgt <br> 2013: Tvillingfunnene Skrugard/Havis får navnet Johan Castberg <br>2014: Innlevering av PUD.<br>2018: Planlagt produksjonsstart,FPSO,,,,,,,,,,2/20/2014 9:01:07,6/8/2012 18:47:57
JOHAN SVERDRUP,FUTURE PROJECTS,Statoil,2010,2018,"501, 265",NS (M),115,"110,000,000,000",,,,,,,,,To be announced,,,,,,0,,,,,,,,,,"300,000,000","1,887,000,000","217,005,000,000","7,800,000,000","300,000,000","7,800,000,000",,"3,800,000",,,,,,,,,,,86,6,NA,5,50,1,30,NA,22,"Johan Sverdrup(16/2-6), tidligere kalt Avaldsnes og Aldous, ligger omtrent 40 km sør for Grane/Balder og kan være det nest største feltet på norsk område, etter Ekofisk. Funnet ble oppjustert betydelig i september og oktober 2011. Rettighetshaverne vurderer selvstendig utbygging med flere innretninger. Det er mulig at produksjonen kan starte i 2018. <br><br><strong>Tidstabell for feltet:</strong><br>2012 Q1: Aldous/Avaldsnes døpes Johan Sverdrup<br>2013 Q4: Utbyggingskonsept valgt.<br>2014 Q4: Innlevering av PUD.<br>2019 Q4: Planlagt produksjonsstart",To be announced,,,,,,,,,,2/21/2014 9:37:28,6/8/2012 18:47:57
KING LEAR,FUTURE PROJECTS,Statoil,2012,,146/333,NS (S),67,,,,,,,,,,To be announced,,,,,,0,,,,,,,,,,"21,500,000","135,235,000","15,552,025,000",,"21,500,000",,,,,,,,,,,,,,134,NA,NA,39,NA,12,NA,NA,NA,"King Lear ligger i den sørlige delen av nordsjøen, omkring 20 km nord for Ekofisk–feltet. Rettighetshaverne vurderer å bygge ut King Lear som et selvstendig felt, eventuelt knytte det opp mot infrastruktur i området. ",,,,,,,,,,,5/30/2013 14:50:18,7/4/2012 10:36:31
KRAFLA,FUTURE PROJECTS,Statoil,2011,,35,NS (N),108,,,,,,,,,,To be announced,,,,,,,,,,,,,,,"3,650","6,600,000","41,514,000","4,774,110,000","3,200,000,000","6,600,000","3,200,000,000",,"200,000",,,,,,,,,,,98,NA,NA,69,71,41,46,NA,65,"Krafla(30/11-8 S) med sidesteget 30/11-8-A ble boret i 2011 og påviste olje og gass i to nabostrukturer, Krafla Main og Krafla Vest. Funnet ligger omtrent 35 km sør for Oseberg feltsenter. Evaluering av utbyggingsløsinger er i en tidlig fase og ulike løsinger for tilknyting til annen infrastruktur er under vurdering.",,,,,,,,,,,6/27/2013 9:37:25,5/21/2013 14:54:17
LINNORM,FUTURE PROJECTS,Norske Shell,2005,2016,225,NOS,310,"20,160,000,000",0,"20,160,000,000",,,,,,,Subsea template,,Steel,,,,0,,,,,Draugen,50,,,"5,200",,0,0,"23,900,000,000",,"23,900,000,000","500,000",,,Pipeline,,,Kårstø,,,,,,33,41,14,NA,28,NA,16,15,NA,"Linnorm ligger på Haltenbanken, omtrent 40 km nordvest for Draugen. Anbefalt utbyggingsløsning for Linnorm-feltet er en havbunnsutbygging med installasjon av to brønnrammer på Linnorm-feltet, hver med to brønner, og tilknytning til Draugenplattformen for prosessering og eksport. Levetid for feltet antas å være 15 år.",Subsea template,,,,,,,,,,4/26/2013 12:43:27,6/8/2012 18:47:57
MARIA,FUTURE PROJECTS,Wintershall,2010,2017,"475 BS, 475 CS",NOS,315,,,,,,,,,,To be announced,,,,,,0,,,,,,,,,"3,800","21,000,000","132,090,000","15,190,350,000","1,400,000,000","21,000,000","1,400,000,000",,,,,,,,,,,,,32,NA,NA,40,89,13,56,NA,NA,"Maria(6406/3-8) ligger på Haltenbakken i Norskehavet, omtrent 20 km sørøst for Åsgard. Strukturen er todelt: Maria sør og Maria nord. To mulige utbyggingsløsninger blir evaluert: FPSO eller subsea template. Investeringene blir på henholdsvis 12 eller 21 milliarder. Maria kan også bli bygget ut sammen med Statoil-funnet Trestakk. PUD vil etter planen bli levert til myndighetene i 2016, og planlagt produksjonsstart er 2017.",To be announced,,,,,,,,,,5/21/2013 15:42:52,9/11/2012 8:31:57
MIKKEL SØR,FUTURE PROJECTS,Statoil,2008,,312,NOS,247,,,,,,,,,,Subsea template,,Steel,,,,0,,,,,Mikkel,8,,,"2,811","600,000","3,774,000","434,010,000","2,200,000,000","600,000","2,200,000,000",,"500,000",,,,,,,,,,,49,NA,NA,104,74,87,49,NA,55,"Mikkel Sør består av funnene Gamma(6407/6-6), påvist i 2008 og Harepus(6407/6-7S), påvist i 2009. Funnet ligger på Haltenbanken, omtrent 8 km sør for Mikkelfeltet. Utbyggingsløsningen vil trolig bli havbunnsrammer knyttet til infrastrukturen på Mikkel. Det er ventet at PUD skal leveres i 2013",Subsea template,,,,,,,,,,5/21/2013 15:42:55,6/8/2012 18:47:57
MJØLNER,FUTURE PROJECTS,Dong E&P Norge,1987,,113,NS (S),70,,,,,,,,,,Subsea template,,Steel,,,,0,0,0,0,0,Valhall,,,,"4,600","3,000,000","18,870,000","2,170,050,000","800,000,000","3,000,000","800,000,000",,"100,000",,,,,,,,,,,123,NA,NA,86,97,63,67,NA,73,Mjølner(2/12-1) ligger nær grenselinjen mellom dansk og norsk sektor. Funnet ligger i et geologisk komplekst område og en regner med at reservoaret er delt i separate forkastingsblokker.  Den planlagte utbyggingsløsningen er en havbunnsramme knyttet til Valhall.,Subsea template,,,,,,,,,,4/17/2013 12:56:50,6/8/2012 18:47:57
NORVARG,FUTURE PROJECTS,Total E&P Norge,2011,,535,BS,377,,,,,,,,,,To be announced,,,,,,0,,,,,,,,,,,0,0,"30,000,000,000",,"30,000,000,000",,,,,,,,,,,,,11,NA,NA,NA,22,NA,13,NA,NA,Norvarg ligger omtrent 250 km nord for Melkøya i Barentshavet og er et av de nordligste funnene på norsk sokkel. Funnet inneholder mellom 10 og 50 milliarder Sm3 utvinnbar gass,,,,,,,,,,,5/30/2013 12:53:17,6/29/2012 10:53:06
OSEBERG DELTA 2,FUTURE PROJECTS,Statoil,2012,2014,OSEBERG AREA UNIT,NS (N),100,"8,000,000,000",,"8,000,000,000",,,,,,,Subsea template,,Steel,,FMC,,5,5,,,,Oseberg,,,,,"12,200,000","76,738,000","8,824,870,000","7,700,000,000","4,600,000","7,700,000,000",,,,,,,,,,,,,102,64,26,78,51,30,32,NA,NA,Oseberg Delta 2 ble oppdaget i 2008. Feltet ligger ligger ca 14 kilometer sørvest for Oseberg feltsenter i Nordsjøen. Utbyggingsløsningen planlegges som en havbunnsløsning som fases inn mot Oseberg feltsenter. Dette er Statoils ellevte såkalte hurtigutbygging. Et konsept som går ut på å kutte ned tiden fra funn til produksjon. PUD ble levert til myndighetene i Mai 2013 og ventet produksjonsstart er 4. kvartal 2014,,,,,,,,,,,8/30/2013 7:14:59,12/12/2012 16:13:27
